#	X(I)	Y(X)	Y'(X)	Y1(X)	Y1'(X)	
Model	ARR_DATA(I)	Integral(3.559,3.437)		Integral(3.437,3.336)		
1	6629.973	13775.105	0.000	52861.022	0.000	
2	39174.120	13105.365	0.000	40222.067	0.000	
3	71696.396	12654.023	0.000	31218.569	0.000	
4	104251.527	12194.319	0.000	24322.940	0.000	
5	136793.319	11777.267	0.000	18926.899	0.000	
6	169338.545	11337.229	0.000	14770.775	0.000	
7	201961.643	10919.953	0.000	11539.347	0.000	
8	234414.284	10518.930	0.000	9067.680	0.000	
9	267013.354	10144.011	0.000	7134.680	0.000	
10	299673.230	9769.841	0.000	5629.489	0.000	
11	332047.901	9418.920	0.000	4478.056	0.000	
12	364946.790	9064.273	0.000	3556.897	0.000	
13	397422.676	8734.189	0.000	2842.834	0.000	
14	430049.501	8428.113	0.000	2291.854	0.000	
15	462684.270	8116.186	0.000	1863.238	0.000	
16	495189.284	7814.466	0.000	1525.389	0.000	
17	527432.139	7541.490	0.000	1265.582	0.000	
18	560222.948	7264.074	0.000	1060.392	0.000	
19	592555.250	6996.328	0.000	893.646	0.000	
20	625299.178	6740.287	0.000	758.022	0.000	
21	657907.173	6502.499	0.000	656.368	0.000	
22	690302.733	6277.321	0.000	558.114	0.000	
23	722944.172	6038.376	0.000	498.293	0.000	
24	755795.004	5814.135	0.000	443.659	0.000	
25	788263.141	5610.707	0.000	404.438	0.000	
26	820846.518	5398.797	0.000	368.061	0.000	
27	853511.005	5212.961	0.000	324.526	0.000	
28	885633.520	5022.266	0.000	308.455	0.000	
29	918349.399	4826.651	0.000	285.841	0.000	
30	951047.722	4662.082	0.000	270.769	0.000	
31	983696.712	4490.722	0.000	254.026	0.000	
32	1016265.181	4328.493	0.000	246.029	0.000	
33	1048722.530	4175.859	0.000	232.841	0.000	
34	1081038.747	4016.739	0.000	213.211	0.000	
35	1113845.346	3874.282	0.000	205.380	0.000	
36	1146471.583	3729.817	0.000	197.204	0.000	
37	1178888.622	3596.526	0.000	184.757	0.000	
38	1211757.598	3466.274	0.000	172.245	0.000	
39	1244379.716	3341.023	0.000	184.544	0.000	
40	1276727.317	3219.387	0.000	184.569	0.000	
41	1309489.978	3112.700	0.000	162.844	0.000	
42	1341942.031	2993.512	0.000	152.493	0.000	
43	1374791.294	2879.293	0.000	148.030	0.000	
44	1407294.640	2770.816	0.000	144.930	0.000	
45	1439426.179	2673.975	0.000	138.005	0.000	
46	1471920.405	2576.583	0.000	127.094	0.000	
47	1504777.317	2482.981	0.000	134.206	0.000	
48	1537220.249	2393.793	0.000	135.959	0.000	
49	1570009.194	2311.090	0.000	132.979	0.000	
50	1602351.205	2221.616	0.000	113.708	0.000	
51	1635022.949	2133.947	0.000	114.703	0.000	
52	1667215.590	2056.555	0.000	112.567	0.000	
53	1700538.758	1980.832	0.000	103.425	0.000	
54	1732542.405	1911.080	0.000	109.962	0.000	
55	1765676.580	1833.193	0.000	96.528	0.000	
56	1798284.574	1778.576	0.000	109.928	0.000	
57	1830343.438	1710.160	0.000	89.954	0.000	
58	1862685.547	1652.336	0.000	85.277	0.000	
59	1895310.901	1585.149	0.000	86.057	0.000	
60	1928219.500	1532.805	0.000	87.504	0.000	
61	1960534.246	1482.188	0.000	96.100	0.000	
62	1993117.525	1431.843	0.000	77.827	0.000	
63	2025969.337	1374.690	0.000	68.952	0.000	
64	2058191.008	1326.324	0.000	82.748	0.000	
65	2090666.894	1286.929	0.000	79.514	0.000	
66	2123396.993	1237.930	0.000	72.578	0.000	
67	2156381.307	1192.605	0.000	62.641	0.000	
68	2188693.111	1150.806	0.000	68.782	0.000	
69	2221245.201	1112.322	0.000	69.692	0.000	
70	2254037.580	1073.394	0.000	65.859	0.000	
71	2286123.120	1038.867	0.000	60.280	0.000	
72	2319389.208	999.864	0.000	59.063	0.000	
73	2351934.924	966.964	0.000	62.367	0.000	
74	2383740.260	933.302	0.000	47.444	0.000	
75	2416732.813	899.859	0.000	43.536	0.000	
76	2448971.843	863.657	0.000	59.821	0.000	
77	2481424.484	832.729	0.000	51.114	0.000	
78	2514090.736	810.987	0.000	57.003	0.000	
79	2546970.599	782.646	0.000	50.732	0.000	
80	2580064.072	753.400	0.000	53.871	0.000	
81	2612358.712	730.609	0.000	41.168	0.000	
82	2644854.212	706.070	0.000	43.221	0.000	
83	2677550.574	680.747	0.000	40.928	0.000	
84	2709416.717	659.718	0.000	47.727	0.000	
85	2742508.523	631.261	0.000	44.087	0.000	
86	2774757.754	611.947	0.000	39.436	0.000	
87	2807195.487	589.993	0.000	34.033	0.000	
88	2839821.724	573.321	0.000	41.416	0.000	
89	2872636.464	547.741	0.000	35.521	0.000	
90	2905639.706	530.746	0.000	27.207	0.000	
91	2937757.808	512.610	0.000	31.136	0.000	
92	2970052.448	495.270	0.000	39.485	0.000	
93	3002523.626	478.510	0.000	38.242	0.000	
94	3035171.341	465.100	0.000	27.965	0.000	
95	3067995.594	450.352	0.000	39.265	0.000	
96	3100996.385	430.988	0.000	32.318	0.000	
97	3133064.959	419.069	0.000	27.053	0.000	
98	3166412.941	404.372	0.000	27.963	0.000	
99	3198817.132	389.618	0.000	37.853	0.000	
100	3231386.288	375.531	0.000	33.496	0.000	
101	3264120.409	366.772	0.000	30.122	0.000	
102	3295882.297	348.377	0.000	25.359	0.000	
103	3328940.659	335.405	0.000	31.486	0.000	
104	3361015.607	329.440	0.000	40.222	0.000	
105	3394398.210	321.901	0.000	25.734	0.000	
106	3426786.219	303.832	0.000	16.081	0.000	
107	3459328.012	293.943	0.000	34.344	0.000	
108	3492023.588	286.295	0.000	32.322	0.000	
109	3523697.110	275.446	0.000	23.128	0.000	
110	3556694.762	265.335	0.000	26.330	0.000	
111	3589846.199	252.708	0.000	18.763	0.000	
112	3621959.299	243.547	0.000	20.402	0.000	
113	3654215.395	238.042	0.000	21.713	0.000	
114	3686614.486	231.708	0.000	14.348	0.000	
115	3719156.573	221.471	0.000	28.271	0.000	
116	3751841.655	215.646	0.000	19.125	0.000	
117	3784669.734	206.921	0.000	19.471	0.000	
118	3817640.807	213.423	0.000	22.858	0.000	
119	3849525.880	198.529	0.000	30.578	0.000	
120	3882777.648	186.851	0.000	21.464	0.000	
121	3914933.020	217.157	0.000	47.982	0.000	
122	3947220.990	192.302	0.000	26.516	0.000	
123	3979641.560	173.755	0.000	25.428	0.000	
124	4012194.730	180.572	0.000	34.543	0.000	
125	4044880.499	182.497	0.000	34.904	0.000	
126	4077698.868	182.737	0.000	33.135	0.000	
127	4110649.836	159.712	0.000	20.435	0.000	
128	4143733.403	142.057	0.000	24.052	0.000	
