#	X(I)	Y(X)	Y'(X)	Y1(X)	Y1'(X)	
Model	ARR_DATA(I)	Integral(3.569,3.436)		Integral(3.436,3.308)		
1	6629.973	14736.502	0.000	55852.756	0.000	
2	39174.120	14080.068	0.000	42443.459	0.000	
3	71696.396	13572.233	0.000	32897.411	0.000	
4	104251.527	13110.069	0.000	25456.985	0.000	
5	136793.319	12654.428	0.000	19765.127	0.000	
6	169338.545	12185.451	0.000	15430.101	0.000	
7	201961.643	11737.733	0.000	12042.132	0.000	
8	234414.284	11290.248	0.000	9406.218	0.000	
9	267013.354	10890.568	0.000	7387.658	0.000	
10	299673.230	10487.080	0.000	5814.063	0.000	
11	332047.901	10107.623	0.000	4596.187	0.000	
12	364946.790	9731.623	0.000	3652.951	0.000	
13	397422.676	9395.550	0.000	2938.283	0.000	
14	430049.501	9039.333	0.000	2353.372	0.000	
15	462684.270	8737.795	0.000	1917.363	0.000	
16	495189.284	8425.117	0.000	1586.623	0.000	
17	527432.139	8114.984	0.000	1316.222	0.000	
18	560222.948	7848.180	0.000	1108.883	0.000	
19	592555.250	7578.822	0.000	918.200	0.000	
20	625299.178	7304.664	0.000	778.120	0.000	
21	657907.173	7028.812	0.000	676.923	0.000	
22	690302.733	6801.195	0.000	590.852	0.000	
23	722944.172	6552.116	0.000	517.145	0.000	
24	755795.004	6314.498	0.000	461.539	0.000	
25	788263.141	6104.930	0.000	428.772	0.000	
26	820846.518	5883.681	0.000	386.875	0.000	
27	853511.005	5689.589	0.000	343.045	0.000	
28	885633.520	5479.712	0.000	317.050	0.000	
29	918349.399	5284.894	0.000	293.006	0.000	
30	951047.722	5102.886	0.000	274.218	0.000	
31	983696.712	4924.074	0.000	256.720	0.000	
32	1016265.181	4740.301	0.000	240.121	0.000	
33	1048722.530	4574.832	0.000	236.406	0.000	
34	1081038.747	4418.890	0.000	214.896	0.000	
35	1113845.346	4274.621	0.000	203.685	0.000	
36	1146471.583	4115.340	0.000	193.994	0.000	
37	1178888.622	3966.249	0.000	181.268	0.000	
38	1211757.598	3817.794	0.000	169.258	0.000	
39	1244379.716	3686.932	0.000	166.240	0.000	
40	1276727.317	3562.973	0.000	170.054	0.000	
41	1309489.978	3440.057	0.000	152.001	0.000	
42	1341942.031	3309.559	0.000	145.589	0.000	
43	1374791.294	3196.729	0.000	144.337	0.000	
44	1407294.640	3083.388	0.000	131.077	0.000	
45	1439426.179	2980.837	0.000	134.246	0.000	
46	1471920.405	2863.930	0.000	119.003	0.000	
47	1504777.317	2765.130	0.000	120.216	0.000	
48	1537220.249	2670.204	0.000	121.939	0.000	
49	1570009.194	2586.893	0.000	121.130	0.000	
50	1602351.205	2496.421	0.000	109.503	0.000	
51	1635022.949	2406.629	0.000	99.908	0.000	
52	1667215.590	2323.733	0.000	93.660	0.000	
53	1700538.758	2233.830	0.000	99.169	0.000	
54	1732542.405	2156.244	0.000	88.572	0.000	
55	1765676.580	2076.345	0.000	83.343	0.000	
56	1798284.574	2010.381	0.000	85.104	0.000	
57	1830343.438	1935.331	0.000	89.559	0.000	
58	1862685.547	1875.222	0.000	83.979	0.000	
59	1895310.901	1806.464	0.000	80.968	0.000	
60	1928219.500	1737.589	0.000	74.319	0.000	
61	1960534.246	1688.606	0.000	75.225	0.000	
62	1993117.525	1624.336	0.000	71.148	0.000	
63	2025969.337	1557.934	0.000	62.354	0.000	
64	2058191.008	1508.824	0.000	58.976	0.000	
65	2090666.894	1461.416	0.000	64.538	0.000	
66	2123396.993	1412.380	0.000	65.863	0.000	
67	2156381.307	1363.031	0.000	63.682	0.000	
68	2188693.111	1313.390	0.000	50.089	0.000	
69	2221245.201	1267.600	0.000	44.815	0.000	
70	2254037.580	1218.896	0.000	53.673	0.000	
71	2286123.120	1184.420	0.000	53.185	0.000	
72	2319389.208	1143.004	0.000	51.583	0.000	
73	2351934.924	1094.305	0.000	48.314	0.000	
74	2383740.260	1065.547	0.000	53.824	0.000	
75	2416732.813	1025.952	0.000	52.848	0.000	
76	2448971.843	994.310	0.000	50.662	0.000	
77	2481424.484	965.091	0.000	43.906	0.000	
78	2514090.736	923.512	0.000	35.419	0.000	
79	2546970.599	890.849	0.000	41.958	0.000	
80	2580064.072	858.295	0.000	39.994	0.000	
81	2612358.712	832.346	0.000	37.504	0.000	
82	2644854.212	802.827	0.000	34.590	0.000	
83	2677550.574	776.410	0.000	36.978	0.000	
84	2709416.717	749.697	0.000	43.027	0.000	
85	2742508.523	724.673	0.000	33.293	0.000	
86	2774757.754	698.186	0.000	26.665	0.000	
87	2807195.487	676.857	0.000	23.290	0.000	
88	2839821.724	655.202	0.000	35.617	0.000	
89	2872636.464	624.892	0.000	30.935	0.000	
90	2905639.706	611.514	0.000	33.280	0.000	
91	2937757.808	590.775	0.000	31.249	0.000	
92	2970052.448	559.982	0.000	20.448	0.000	
93	3002523.626	551.379	0.000	31.277	0.000	
94	3035171.341	529.351	0.000	26.253	0.000	
95	3067995.594	507.328	0.000	21.405	0.000	
96	3100996.385	489.902	0.000	24.270	0.000	
97	3133064.959	471.199	0.000	19.370	0.000	
98	3166412.941	453.449	0.000	32.703	0.000	
99	3198817.132	445.859	0.000	29.049	0.000	
100	3231386.288	426.570	0.000	14.875	0.000	
101	3264120.409	409.645	0.000	11.107	0.000	
102	3295882.297	396.525	0.000	21.900	0.000	
103	3328940.659	389.765	0.000	16.694	0.000	
104	3361015.607	367.485	0.000	16.178	0.000	
105	3394398.210	357.639	0.000	15.207	0.000	
106	3426786.219	344.425	0.000	32.007	0.000	
107	3459328.012	340.515	0.000	20.094	0.000	
108	3492023.588	325.344	0.000	13.886	0.000	
109	3523697.110	311.067	0.000	19.357	0.000	
110	3556694.762	306.343	0.000	8.781	0.000	
111	3589846.199	291.518	0.000	24.775	0.000	
112	3621959.299	282.097	0.000	16.251	0.000	
113	3654215.395	275.956	0.000	13.543	0.000	
114	3686614.486	266.484	0.000	10.591	0.000	
115	3719156.573	253.628	0.000	21.826	0.000	
116	3751841.655	243.532	0.000	18.210	0.000	
117	3784669.734	236.872	0.000	9.995	0.000	
118	3817640.807	241.301	0.000	13.793	0.000	
119	3849525.880	228.217	0.000	13.014	0.000	
