#	X(I)	Y(X)	Y'(X)	Y1(X)	Y1'(X)	
Model	ARR_DATA(I)	Integral(3.579,3.438)		Integral(3.440,3.230)		
1	6629.973	14598.748	0.000	56546.443	0.000	
2	39174.120	13880.660	0.000	43925.054	0.000	
3	71696.396	13393.884	0.000	34513.412	0.000	
4	104251.527	12894.482	0.000	27257.547	0.000	
5	136793.319	12422.674	0.000	21568.952	0.000	
6	169338.545	11971.412	0.000	17045.327	0.000	
7	201961.643	11559.419	0.000	13522.806	0.000	
8	234414.284	11146.761	0.000	10753.113	0.000	
9	267013.354	10738.327	0.000	8556.199	0.000	
10	299673.230	10343.375	0.000	6832.207	0.000	
11	332047.901	9988.592	0.000	5504.172	0.000	
12	364946.790	9638.619	0.000	4431.656	0.000	
13	397422.676	9299.034	0.000	3590.247	0.000	
14	430049.501	8962.780	0.000	2937.462	0.000	
15	462684.270	8651.618	0.000	2419.588	0.000	
16	495189.284	8344.674	0.000	2006.084	0.000	
17	527432.139	8051.433	0.000	1668.636	0.000	
18	560222.948	7763.094	0.000	1419.798	0.000	
19	592555.250	7480.650	0.000	1203.233	0.000	
20	625299.178	7237.515	0.000	1041.493	0.000	
21	657907.173	6964.709	0.000	908.237	0.000	
22	690302.733	6719.563	0.000	808.569	0.000	
23	722944.172	6475.756	0.000	718.764	0.000	
24	755795.004	6245.174	0.000	639.002	0.000	
25	788263.141	6022.552	0.000	579.394	0.000	
26	820846.518	5815.390	0.000	545.237	0.000	
27	853511.005	5612.511	0.000	507.217	0.000	
28	885633.520	5421.904	0.000	477.113	0.000	
29	918349.399	5224.818	0.000	439.840	0.000	
30	951047.722	5038.081	0.000	420.794	0.000	
31	983696.712	4867.050	0.000	393.252	0.000	
32	1016265.181	4687.488	0.000	372.435	0.000	
33	1048722.530	4518.478	0.000	355.099	0.000	
34	1081038.747	4364.605	0.000	348.240	0.000	
35	1113845.346	4204.947	0.000	309.601	0.000	
36	1146471.583	4063.705	0.000	320.321	0.000	
37	1178888.622	3907.315	0.000	287.457	0.000	
38	1211757.598	3767.520	0.000	303.141	0.000	
39	1244379.716	3641.028	0.000	281.608	0.000	
40	1276727.317	3516.573	0.000	278.585	0.000	
41	1309489.978	3386.753	0.000	249.750	0.000	
42	1341942.031	3266.620	0.000	246.004	0.000	
43	1374791.294	3146.497	0.000	238.182	0.000	
44	1407294.640	3041.911	0.000	234.719	0.000	
45	1439426.179	2933.898	0.000	225.162	0.000	
46	1471920.405	2831.003	0.000	222.628	0.000	
47	1504777.317	2720.224	0.000	224.098	0.000	
48	1537220.249	2630.054	0.000	212.497	0.000	
49	1570009.194	2538.240	0.000	195.389	0.000	
50	1602351.205	2448.672	0.000	188.265	0.000	
51	1635022.949	2363.091	0.000	194.994	0.000	
52	1667215.590	2279.912	0.000	182.849	0.000	
53	1700538.758	2193.928	0.000	177.003	0.000	
54	1732542.405	2114.876	0.000	173.446	0.000	
55	1765676.580	2041.357	0.000	165.632	0.000	
56	1798284.574	1968.345	0.000	167.930	0.000	
57	1830343.438	1903.672	0.000	160.015	0.000	
58	1862685.547	1836.275	0.000	140.632	0.000	
59	1895310.901	1765.658	0.000	155.460	0.000	
60	1928219.500	1705.157	0.000	142.629	0.000	
61	1960534.246	1643.306	0.000	139.385	0.000	
62	1993117.525	1589.068	0.000	138.732	0.000	
63	2025969.337	1528.346	0.000	144.449	0.000	
64	2058191.008	1476.696	0.000	144.946	0.000	
65	2090666.894	1421.295	0.000	133.582	0.000	
66	2123396.993	1372.706	0.000	118.933	0.000	
67	2156381.307	1322.019	0.000	122.281	0.000	
68	2188693.111	1275.561	0.000	118.294	0.000	
69	2221245.201	1231.906	0.000	120.129	0.000	
70	2254037.580	1187.916	0.000	111.937	0.000	
71	2286123.120	1148.201	0.000	114.927	0.000	
72	2319389.208	1103.498	0.000	119.334	0.000	
73	2351934.924	1065.147	0.000	118.088	0.000	
74	2383740.260	1028.063	0.000	98.499	0.000	
75	2416732.813	989.540	0.000	84.812	0.000	
76	2448971.843	952.499	0.000	87.592	0.000	
77	2481424.484	915.191	0.000	90.722	0.000	
78	2514090.736	888.117	0.000	93.174	0.000	
79	2546970.599	860.756	0.000	109.042	0.000	
80	2580064.072	823.892	0.000	100.014	0.000	
81	2612358.712	794.617	0.000	104.903	0.000	
82	2644854.212	770.802	0.000	88.467	0.000	
83	2677550.574	739.999	0.000	74.204	0.000	
84	2709416.717	718.124	0.000	84.490	0.000	
85	2742508.523	686.140	0.000	79.377	0.000	
86	2774757.754	666.082	0.000	79.801	0.000	
87	2807195.487	646.116	0.000	66.245	0.000	
88	2839821.724	622.646	0.000	93.985	0.000	
89	2872636.464	593.781	0.000	83.560	0.000	
90	2905639.706	572.594	0.000	69.086	0.000	
91	2937757.808	554.942	0.000	66.818	0.000	
92	2970052.448	535.681	0.000	61.760	0.000	
93	3002523.626	515.203	0.000	56.599	0.000	
94	3035171.341	496.836	0.000	59.788	0.000	
95	3067995.594	484.033	0.000	63.125	0.000	
96	3100996.385	465.485	0.000	57.779	0.000	
97	3133064.959	448.083	0.000	52.451	0.000	
98	3166412.941	432.176	0.000	59.587	0.000	
99	3198817.132	417.645	0.000	58.346	0.000	
100	3231386.288	400.236	0.000	45.522	0.000	
101	3264120.409	386.809	0.000	46.441	0.000	
102	3295882.297	372.361	0.000	50.525	0.000	
103	3328940.659	357.107	0.000	57.605	0.000	
104	3361015.607	345.698	0.000	39.680	0.000	
105	3394398.210	335.425	0.000	40.886	0.000	
106	3426786.219	321.757	0.000	44.644	0.000	
107	3459328.012	307.213	0.000	45.485	0.000	
108	3492023.588	300.758	0.000	43.668	0.000	
109	3523697.110	290.438	0.000	49.102	0.000	
110	3556694.762	279.217	0.000	29.224	0.000	
111	3589846.199	270.155	0.000	31.576	0.000	
112	3621959.299	261.472	0.000	60.353	0.000	
113	3654215.395	252.377	0.000	35.434	0.000	
114	3686614.486	243.304	0.000	32.413	0.000	
115	3719156.573	238.860	0.000	40.033	0.000	
116	3751841.655	225.875	0.000	36.761	0.000	
117	3784669.734	216.075	0.000	31.338	0.000	
118	3817640.807	214.530	0.000	32.487	0.000	
119	3849525.880	217.322	0.000	44.744	0.000	
120	3882777.648	197.936	0.000	31.885	0.000	
121	3914933.020	190.518	0.000	37.045	0.000	
122	3947220.990	183.158	0.000	40.539	0.000	
123	3979641.560	177.565	0.000	24.228	0.000	
124	4012194.730	289.405	0.000	192.719	0.000	
125	4044880.499	261.640	0.000	161.206	0.000	
126	4077698.868	173.978	0.000	46.567	0.000	
127	4110649.836	187.072	0.000	78.548	0.000	
128	4143733.403	193.806	0.000	81.129	0.000	
