#	X(I)	Y(X)	Y'(X)	Y1(X)	Y1'(X)	
Model	ARR_DATA(I)	Integral(3.559,3.434)		Integral(3.434,3.332)		
84	2709416.717	724.617	0.000	37.105	0.000	
85	2742508.523	691.821	0.000	34.212	0.000	
86	2774757.754	676.905	0.000	40.514	0.000	
87	2807195.487	645.949	0.000	32.983	0.000	
88	2839821.724	625.574	0.000	35.919	0.000	
89	2872636.464	606.017	0.000	38.478	0.000	
90	2905639.706	580.735	0.000	18.250	0.000	
91	2937757.808	560.259	0.000	26.009	0.000	
92	2970052.448	540.177	0.000	36.939	0.000	
93	3002523.626	521.068	0.000	31.977	0.000	
94	3035171.341	503.415	0.000	26.522	0.000	
95	3067995.594	484.953	0.000	24.029	0.000	
96	3100996.385	468.106	0.000	29.793	0.000	
97	3133064.959	456.736	0.000	14.779	0.000	
98	3166412.941	434.615	0.000	14.129	0.000	
99	3198817.132	414.134	0.000	22.794	0.000	
100	3231386.288	403.154	0.000	30.793	0.000	
101	3264120.409	387.725	0.000	22.331	0.000	
102	3295882.297	381.034	0.000	15.049	0.000	
103	3328940.659	363.760	0.000	25.443	0.000	
104	3361015.607	353.863	0.000	29.798	0.000	
105	3394398.210	337.831	0.000	12.026	0.000	
106	3426786.219	325.076	0.000	18.661	0.000	
107	3459328.012	315.529	0.000	30.501	0.000	
108	3492023.588	302.390	0.000	31.784	0.000	
109	3523697.110	291.896	0.000	22.769	0.000	
110	3556694.762	284.565	0.000	21.063	0.000	
111	3589846.199	272.067	0.000	19.787	0.000	
112	3621959.299	262.072	0.000	11.810	0.000	
113	3654215.395	257.274	0.000	8.849	0.000	
114	3686614.486	247.738	0.000	18.716	0.000	
115	3719156.573	233.949	0.000	18.540	0.000	
116	3751841.655	226.612	0.000	18.972	0.000	
117	3784669.734	218.073	0.000	13.079	0.000	
118	3817640.807	211.459	0.000	18.094	0.000	
119	3849525.880	206.727	0.000	16.585	0.000	
120	3882777.648	202.017	0.000	5.203	0.000	
121	3914933.020	197.505	0.000	19.518	0.000	
122	3947220.990	184.833	0.000	26.266	0.000	
123	3979641.560	177.502	0.000	12.367	0.000	
124	4012194.730	171.275	0.000	18.341	0.000	
125	4044880.499	181.141	0.000	26.637	0.000	
126	4077698.868	170.870	0.000	21.674	0.000	
127	4110649.836	175.685	0.000	18.784	0.000	
128	4143733.403	149.572	0.000	13.293	0.000	
