#	X(I)	Y(X)	Y'(X)	Y1(X)	Y1'(X)	
Model	ARR_DATA(I)	Integral(3.559,3.434)		Integral(3.434,3.332)		
1	6629.973	15030.306	0.000	57193.882	0.000	
2	39174.120	14391.535	0.000	43674.793	0.000	
3	71696.396	13858.954	0.000	33955.671	0.000	
4	104251.527	13360.883	0.000	26437.224	0.000	
5	136793.319	12894.931	0.000	20603.800	0.000	
6	169338.545	12439.507	0.000	16104.418	0.000	
7	201961.643	11982.531	0.000	12583.724	0.000	
8	234414.284	11536.943	0.000	9907.129	0.000	
9	267013.354	11121.645	0.000	7784.844	0.000	
10	299673.230	10691.871	0.000	6155.412	0.000	
11	332047.901	10313.993	0.000	4894.554	0.000	
12	364946.790	9931.848	0.000	3899.769	0.000	
13	397422.676	9572.658	0.000	3127.341	0.000	
14	430049.501	9219.891	0.000	2523.049	0.000	
15	462684.270	8890.960	0.000	2057.757	0.000	
16	495189.284	8565.738	0.000	1690.270	0.000	
17	527432.139	8264.596	0.000	1413.695	0.000	
18	560222.948	7969.379	0.000	1182.088	0.000	
19	592555.250	7691.034	0.000	1000.946	0.000	
20	625299.178	7420.255	0.000	860.659	0.000	
21	657907.173	7162.786	0.000	740.280	0.000	
22	690302.733	6917.151	0.000	652.976	0.000	
23	722944.172	6671.234	0.000	579.354	0.000	
24	755795.004	6436.924	0.000	518.564	0.000	
25	788263.141	6213.510	0.000	475.744	0.000	
26	820846.518	5997.144	0.000	422.088	0.000	
27	853511.005	5792.356	0.000	393.576	0.000	
28	885633.520	5584.866	0.000	352.996	0.000	
29	918349.399	5387.924	0.000	327.101	0.000	
30	951047.722	5190.134	0.000	304.588	0.000	
31	983696.712	5011.573	0.000	293.113	0.000	
32	1016265.181	4837.865	0.000	277.437	0.000	
33	1048722.530	4659.081	0.000	259.214	0.000	
34	1081038.747	4504.238	0.000	250.006	0.000	
35	1113845.346	4339.078	0.000	235.315	0.000	
36	1146471.583	4186.462	0.000	216.765	0.000	
37	1178888.622	4037.918	0.000	206.103	0.000	
38	1211757.598	3884.562	0.000	202.017	0.000	
39	1244379.716	3754.184	0.000	197.759	0.000	
40	1276727.317	3620.082	0.000	189.772	0.000	
41	1309489.978	3491.974	0.000	178.650	0.000	
42	1341942.031	3361.947	0.000	171.252	0.000	
43	1374791.294	3244.500	0.000	162.250	0.000	
44	1407294.640	3129.289	0.000	160.499	0.000	
45	1439426.179	3013.693	0.000	145.455	0.000	
46	1471920.405	2901.457	0.000	142.067	0.000	
47	1504777.317	2797.852	0.000	143.062	0.000	
48	1537220.249	2706.258	0.000	139.515	0.000	
49	1570009.194	2607.904	0.000	134.510	0.000	
50	1602351.205	2517.033	0.000	116.139	0.000	
51	1635022.949	2423.441	0.000	124.011	0.000	
52	1667215.590	2336.049	0.000	118.235	0.000	
53	1700538.758	2251.438	0.000	102.521	0.000	
54	1732542.405	2165.660	0.000	106.086	0.000	
55	1765676.580	2096.767	0.000	112.756	0.000	
56	1798284.574	2019.511	0.000	99.774	0.000	
57	1830343.438	1947.995	0.000	92.533	0.000	
58	1862685.547	1876.361	0.000	92.934	0.000	
59	1895310.901	1810.199	0.000	89.497	0.000	
60	1928219.500	1746.356	0.000	79.190	0.000	
61	1960534.246	1674.309	0.000	69.461	0.000	
62	1993117.525	1616.402	0.000	83.466	0.000	
63	2025969.337	1562.562	0.000	85.979	0.000	
64	2058191.008	1503.774	0.000	73.367	0.000	
65	2090666.894	1447.195	0.000	72.027	0.000	
66	2123396.993	1403.355	0.000	70.701	0.000	
67	2156381.307	1341.646	0.000	65.968	0.000	
68	2188693.111	1291.730	0.000	51.413	0.000	
69	2221245.201	1248.849	0.000	61.087	0.000	
70	2254037.580	1208.107	0.000	68.965	0.000	
71	2286123.120	1163.980	0.000	62.032	0.000	
72	2319389.208	1125.612	0.000	51.704	0.000	
73	2351934.924	1080.943	0.000	56.380	0.000	
74	2383740.260	1046.035	0.000	51.908	0.000	
75	2416732.813	1004.896	0.000	46.136	0.000	
76	2448971.843	967.398	0.000	44.104	0.000	
77	2481424.484	939.685	0.000	51.133	0.000	
78	2514090.736	900.699	0.000	53.126	0.000	
79	2546970.599	872.751	0.000	39.866	0.000	
80	2580064.072	835.144	0.000	40.079	0.000	
81	2612358.712	806.536	0.000	47.462	0.000	
82	2644854.212	784.634	0.000	33.721	0.000	
83	2677550.574	750.322	0.000	27.738	0.000	
