#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.505,1.367)		
1	1022.157	6346.269	0.000	
2	1445.606	6360.425	0.000	
3	1940.091	6336.690	0.000	
4	2509.649	6334.759	0.000	
5	3152.410	6334.399	0.000	
6	3865.316	6366.950	0.000	
7	4654.186	6369.168	0.000	
8	5516.260	6335.077	0.000	
9	6447.587	6329.493	0.000	
10	7455.770	6355.236	0.000	
11	8537.156	6360.753	0.000	
12	9686.904	6355.656	0.000	
13	10914.400	6322.601	0.000	
14	12215.099	6319.104	0.000	
15	13583.268	6315.794	0.000	
16	15030.076	6337.008	0.000	
17	16550.210	6311.016	0.000	
18	18136.806	6335.628	0.000	
19	19802.731	6319.423	0.000	
20	21542.192	6293.591	0.000	
21	23347.206	6289.117	0.000	
22	25232.414	6290.298	0.000	
23	27191.202	6308.784	0.000	
24	29214.635	6277.572	0.000	
25	31319.549	6281.683	0.000	
26	33497.242	6279.908	0.000	
27	35739.092	6263.316	0.000	
28	38063.334	6256.630	0.000	
29	40460.310	6248.662	0.000	
30	42920.578	6243.398	0.000	
31	45464.147	6255.812	0.000	
32	48080.930	6234.035	0.000	
33	50759.631	6232.940	0.000	
34	53521.989	6208.165	0.000	
35	56358.099	6203.189	0.000	
36	59255.218	6206.932	0.000	
37	62236.859	6206.604	0.000	
38	65292.296	6181.939	0.000	
39	68407.834	6170.888	0.000	
40	71609.397	6183.422	0.000	
41	74883.523	6152.081	0.000	
42	78217.478	6140.585	0.000	
43	81638.369	6139.082	0.000	
44	85131.778	6143.955	0.000	
45	88684.151	6127.849	0.000	
46	92324.369	6115.434	0.000	
47	96037.802	6099.118	0.000	
48	99808.608	6094.270	0.000	
49	103667.398	6071.382	0.000	
50	107600.158	6083.482	0.000	
51	111589.382	6066.572	0.000	
52	115667.456	6052.948	0.000	
53	119819.542	6024.810	0.000	
54	124027.184	6034.800	0.000	
55	128325.397	6020.151	0.000	
56	132695.956	6005.774	0.000	
57	137122.016	5999.855	0.000	
58	141639.556	5966.685	0.000	
59	146229.398	5967.336	0.000	
60	150873.876	5942.585	0.000	
61	155610.743	5929.625	0.000	
62	160420.825	5930.525	0.000	
63	165283.736	5927.951	0.000	
64	170238.959	5915.718	0.000	
65	175268.368	5881.857	0.000	
66	180369.978	5888.040	0.000	
67	185524.204	5856.683	0.000	
68	190772.940	5844.469	0.000	
69	196094.890	5843.300	0.000	
70	201467.549	5811.806	0.000	
71	206934.540	5808.069	0.000	
72	212475.818	5804.547	0.000	
73	218066.895	5768.861	0.000	
74	223753.169	5775.323	0.000	
75	229513.774	5762.058	0.000	
76	235323.269	5733.799	0.000	
77	241230.000	5724.477	0.000	
78	247208.759	5700.004	0.000	
79	253236.672	5701.043	0.000	
80	259362.730	5677.473	0.000	
81	265560.772	5675.458	0.000	
82	271807.104	5657.192	0.000	
83	278152.489	5633.940	0.000	
84	284571.089	5610.614	0.000	
85	291035.852	5604.808	0.000	
86	297599.276	5578.941	0.000	
87	304237.203	5575.802	0.000	
88	310920.385	5548.636	0.000	
89	317703.093	5541.674	0.000	
90	324560.346	5532.168	0.000	
91	331461.946	5503.397	0.000	
92	338465.327	5480.882	0.000	
93	345540.518	5473.363	0.000	
94	352660.537	5458.269	0.000	
95	359883.244	5444.869	0.000	
96	367177.719	5436.531	0.000	
97	374516.155	5401.277	0.000	
98	381958.190	5397.862	0.000	
99	389473.439	5367.685	0.000	
100	397030.308	5350.227	0.000	
101	404690.164	5345.513	0.000	
102	412424.740	5324.609	0.000	
103	420200.027	5306.591	0.000	
104	428079.167	5286.338	0.000	
105	436033.070	5284.312	0.000	
106	444026.776	5257.295	0.000	
107	452126.805	5244.996	0.000	
108	460298.429	5219.638	0.000	
109	468510.553	5198.478	0.000	
110	476829.909	5179.760	0.000	
111	485220.817	5170.376	0.000	
112	493651.359	5161.562	0.000	
113	502190.042	5133.796	0.000	
114	510801.940	5120.427	0.000	
115	519450.914	5090.468	0.000	
116	528207.204	5076.248	0.000	
117	537038.429	5053.006	0.000	
118	545905.821	5039.785	0.000	
119	554881.394	5028.239	0.000	
120	563931.946	5000.908	0.000	
121	573017.756	4982.152	0.000	
122	582214.435	4977.871	0.000	
123	591482.492	4958.742	0.000	
124	600786.721	4929.007	0.000	
125	610202.726	4910.316	0.000	
126	619690.067	4893.598	0.000	
127	629212.714	4879.347	0.000	
128	638848.046	4191.636	0.000	
