#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.522,1.333)		
1	1022.157	8248.761	0.000	
2	1445.606	8233.869	0.000	
3	1940.091	8235.038	0.000	
4	2509.649	8232.140	0.000	
5	3152.410	8236.552	0.000	
6	3865.316	8238.265	0.000	
7	4654.186	8230.163	0.000	
8	5516.260	8232.947	0.000	
9	6447.587	8238.369	0.000	
10	7455.770	8231.305	0.000	
11	8537.156	8224.854	0.000	
12	9686.904	8217.815	0.000	
13	10914.400	8215.857	0.000	
14	12215.099	8214.097	0.000	
15	13583.268	8203.233	0.000	
16	15030.076	8202.604	0.000	
17	16550.210	8199.099	0.000	
18	18136.806	8187.749	0.000	
19	19802.731	8183.608	0.000	
20	21542.192	8178.107	0.000	
21	23347.206	8170.127	0.000	
22	25232.414	8167.474	0.000	
23	27191.202	8155.331	0.000	
24	29214.635	8143.359	0.000	
25	31319.549	8138.490	0.000	
26	33497.242	8128.382	0.000	
27	35739.092	8116.111	0.000	
28	38063.334	8110.508	0.000	
29	40460.310	8100.113	0.000	
30	42920.578	8084.246	0.000	
31	45464.147	8070.754	0.000	
32	48080.930	8063.974	0.000	
33	50759.631	8048.111	0.000	
34	53521.989	8035.679	0.000	
35	56358.099	8025.285	0.000	
36	59255.218	8014.428	0.000	
37	62236.859	7999.519	0.000	
38	65292.296	7982.012	0.000	
39	68407.834	7969.485	0.000	
40	71609.397	7953.669	0.000	
41	74883.523	7936.622	0.000	
42	78217.478	7921.519	0.000	
43	81638.369	7907.159	0.000	
44	85131.778	7888.420	0.000	
45	88684.151	7870.633	0.000	
46	92324.369	7856.980	0.000	
47	96037.802	7842.081	0.000	
48	99808.608	7826.301	0.000	
49	103667.398	7807.424	0.000	
50	107600.158	7784.491	0.000	
51	111589.382	7774.363	0.000	
52	115667.456	7751.628	0.000	
53	119819.542	7735.296	0.000	
54	124027.184	7715.343	0.000	
55	128325.397	7693.683	0.000	
56	132695.956	7675.065	0.000	
57	137122.016	7653.742	0.000	
58	141639.556	7635.302	0.000	
59	146229.398	7620.639	0.000	
60	150873.876	7599.682	0.000	
61	155610.743	7579.789	0.000	
62	160420.825	7554.078	0.000	
63	165283.736	7536.342	0.000	
64	170238.959	7521.120	0.000	
65	175268.368	7499.792	0.000	
66	180369.978	7479.704	0.000	
67	185524.204	7457.264	0.000	
68	190772.940	7428.549	0.000	
69	196094.890	7408.910	0.000	
70	201467.549	7390.537	0.000	
71	206934.540	7367.593	0.000	
72	212475.818	7343.059	0.000	
73	218066.895	7324.570	0.000	
74	223753.169	7299.778	0.000	
75	229513.774	7277.825	0.000	
76	235323.269	7255.853	0.000	
77	241230.000	7235.150	0.000	
78	247208.759	7208.079	0.000	
79	253236.672	7188.557	0.000	
80	259362.730	7160.172	0.000	
81	265560.772	7138.220	0.000	
82	271807.104	7118.103	0.000	
83	278152.489	7091.130	0.000	
84	284571.089	7067.396	0.000	
85	291035.852	7041.556	0.000	
86	297599.276	7017.494	0.000	
87	304237.203	6990.679	0.000	
88	310920.385	6968.105	0.000	
89	317703.093	6945.681	0.000	
90	324560.346	6922.138	0.000	
91	331461.946	6897.740	0.000	
92	338465.327	6871.033	0.000	
93	345540.518	6838.307	0.000	
94	352660.537	6817.756	0.000	
95	359883.244	6788.697	0.000	
96	367177.719	6764.229	0.000	
97	374516.155	6740.238	0.000	
98	381958.190	6718.346	0.000	
99	389473.439	6694.356	0.000	
100	397030.308	6664.808	0.000	
101	404690.164	6634.558	0.000	
102	412424.740	6608.904	0.000	
103	420200.027	6584.020	0.000	
104	428079.167	6557.137	0.000	
105	436033.070	6533.170	0.000	
106	444026.776	6498.168	0.000	
107	452126.805	6474.433	0.000	
108	460298.429	6452.617	0.000	
109	468510.553	6420.971	0.000	
110	476829.909	6395.223	0.000	
111	485220.817	6370.561	0.000	
112	493651.359	6347.011	0.000	
113	502190.042	6315.807	0.000	
114	510801.940	6290.977	0.000	
115	519450.914	6260.523	0.000	
116	528207.204	6230.105	0.000	
117	537038.429	6207.142	0.000	
118	545905.821	6178.379	0.000	
119	554881.394	6150.440	0.000	
120	563931.946	6121.337	0.000	
121	573017.756	6103.384	0.000	
122	582214.435	6070.739	0.000	
123	591482.492	6040.918	0.000	
124	600786.721	6016.477	0.000	
125	610202.726	5986.592	0.000	
126	619690.067	5957.126	0.000	
127	629212.714	5934.525	0.000	
128	638848.046	5902.161	0.000	
