#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.517,1.383)		
1	1022.157	6248.562	0.000	
2	1445.606	6233.542	0.000	
3	1940.091	6231.299	0.000	
4	2509.649	6232.978	0.000	
5	3152.410	6236.808	0.000	
6	3865.316	6236.147	0.000	
7	4654.186	6237.760	0.000	
8	5516.260	6234.285	0.000	
9	6447.587	6227.834	0.000	
10	7455.770	6226.369	0.000	
11	8537.156	6227.868	0.000	
12	9686.904	6223.842	0.000	
13	10914.400	6221.848	0.000	
14	12215.099	6215.027	0.000	
15	13583.268	6210.150	0.000	
16	15030.076	6205.153	0.000	
17	16550.210	6202.273	0.000	
18	18136.806	6198.330	0.000	
19	19802.731	6194.347	0.000	
20	21542.192	6188.839	0.000	
21	23347.206	6182.445	0.000	
22	25232.414	6178.631	0.000	
23	27191.202	6170.427	0.000	
24	29214.635	6168.358	0.000	
25	31319.549	6161.174	0.000	
26	33497.242	6153.056	0.000	
27	35739.092	6150.909	0.000	
28	38063.334	6143.191	0.000	
29	40460.310	6139.216	0.000	
30	42920.578	6133.515	0.000	
31	45464.147	6123.638	0.000	
32	48080.930	6118.204	0.000	
33	50759.631	6110.522	0.000	
34	53521.989	6098.663	0.000	
35	56358.099	6092.766	0.000	
36	59255.218	6085.043	0.000	
37	62236.859	6071.794	0.000	
38	65292.296	6065.178	0.000	
39	68407.834	6053.301	0.000	
40	71609.397	6048.085	0.000	
41	74883.523	6038.319	0.000	
42	78217.478	6028.447	0.000	
43	81638.369	6018.494	0.000	
44	85131.778	6008.625	0.000	
45	88684.151	5995.288	0.000	
46	92324.369	5992.023	0.000	
47	96037.802	5976.566	0.000	
48	99808.608	5970.375	0.000	
49	103667.398	5957.356	0.000	
50	107600.158	5946.380	0.000	
51	111589.382	5937.587	0.000	
52	115667.456	5925.256	0.000	
53	119819.542	5917.559	0.000	
54	124027.184	5908.630	0.000	
55	128325.397	5895.107	0.000	
56	132695.956	5887.234	0.000	
57	137122.016	5871.717	0.000	
58	141639.556	5863.250	0.000	
59	146229.398	5852.350	0.000	
60	150873.876	5839.835	0.000	
61	155610.743	5826.565	0.000	
62	160420.825	5815.818	0.000	
63	165283.736	5803.378	0.000	
64	170238.959	5790.557	0.000	
65	175268.368	5776.426	0.000	
66	180369.978	5764.569	0.000	
67	185524.204	5748.658	0.000	
68	190772.940	5731.401	0.000	
69	196094.890	5720.064	0.000	
70	201467.549	5705.854	0.000	
71	206934.540	5691.002	0.000	
72	212475.818	5678.776	0.000	
73	218066.895	5666.408	0.000	
74	223753.169	5652.969	0.000	
75	229513.774	5637.703	0.000	
76	235323.269	5625.482	0.000	
77	241230.000	5610.411	0.000	
78	247208.759	5597.350	0.000	
79	253236.672	5582.777	0.000	
80	259362.730	5571.969	0.000	
81	265560.772	5558.305	0.000	
82	271807.104	5542.982	0.000	
83	278152.489	5528.856	0.000	
84	284571.089	5514.353	0.000	
85	291035.852	5496.854	0.000	
86	297599.276	5482.314	0.000	
87	304237.203	5469.020	0.000	
88	310920.385	5454.281	0.000	
89	317703.093	5437.168	0.000	
90	324560.346	5420.831	0.000	
91	331461.946	5403.981	0.000	
92	338465.327	5391.579	0.000	
93	345540.518	5378.481	0.000	
94	352660.537	5355.119	0.000	
95	359883.244	5340.531	0.000	
96	367177.719	5327.347	0.000	
97	374516.155	5311.076	0.000	
98	381958.190	5289.882	0.000	
99	389473.439	5279.057	0.000	
100	397030.308	5267.864	0.000	
101	404690.164	5247.546	0.000	
102	412424.740	5234.638	0.000	
103	420200.027	5216.524	0.000	
104	428079.167	5206.818	0.000	
105	436033.070	5188.405	0.000	
106	444026.776	5173.615	0.000	
107	452126.805	5157.015	0.000	
108	460298.429	5137.100	0.000	
109	468510.553	5119.612	0.000	
110	476829.909	5103.357	0.000	
111	485220.817	5087.954	0.000	
112	493651.359	5068.062	0.000	
113	502190.042	5050.360	0.000	
114	510801.940	5035.385	0.000	
115	519450.914	5019.844	0.000	
116	528207.204	5002.017	0.000	
117	537038.429	4983.744	0.000	
118	545905.821	4962.672	0.000	
119	554881.394	4948.001	0.000	
120	563931.946	4933.774	0.000	
121	573017.756	4914.249	0.000	
122	582214.435	4893.654	0.000	
123	591482.492	4879.653	0.000	
124	600786.721	4862.168	0.000	
125	610202.726	4845.883	0.000	
126	619690.067	4830.112	0.000	
127	629212.714	4820.305	0.000	
128	638848.046	4796.804	0.000	
