#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.511,1.384)		
1	13547.151	3214.562	0.000	
2	14243.659	3203.970	0.000	
3	15001.458	3202.246	0.000	
4	15778.896	3204.997	0.000	
5	16599.036	3201.646	0.000	
6	17463.608	3201.954	0.000	
7	18374.394	3199.041	0.000	
8	19308.330	3200.633	0.000	
9	20316.430	3197.102	0.000	
10	21376.354	3198.030	0.000	
11	22490.074	3193.309	0.000	
12	23659.610	3191.177	0.000	
13	24887.030	3190.225	0.000	
14	26174.451	3185.868	0.000	
15	27553.751	3186.564	0.000	
16	28968.466	3185.880	0.000	
17	30481.090	3181.719	0.000	
18	32064.263	3182.254	0.000	
19	33753.280	3176.479	0.000	
20	35485.648	3172.029	0.000	
21	37330.530	3169.680	0.000	
22	39293.119	3168.709	0.000	
23	41305.985	3160.811	0.000	
24	43481.072	3161.913	0.000	
25	45711.968	3157.511	0.000	
26	48116.435	3153.561	0.000	
27	50622.810	3147.562	0.000	
28	53234.123	3146.680	0.000	
29	55995.818	3140.203	0.000	
30	58914.243	3135.430	0.000	
31	61995.940	3133.504	0.000	
32	65201.909	3128.360	0.000	
33	68582.452	3121.152	0.000	
34	72144.592	3118.298	0.000	
35	75895.541	3109.576	0.000	
36	79842.708	3106.567	0.000	
37	84045.595	3097.298	0.000	
38	88409.518	3093.580	0.000	
39	92993.064	3085.636	0.000	
40	97804.411	3079.264	0.000	
41	102909.362	3072.006	0.000	
42	108261.978	3064.528	0.000	
43	113871.107	3057.519	0.000	
44	119807.766	3045.499	0.000	
45	126022.373	3040.001	0.000	
46	132589.647	3027.292	0.000	
47	139457.427	3020.961	0.000	
48	146704.295	3012.090	0.000	
49	154345.690	2999.234	0.000	
50	162397.484	2986.563	0.000	
51	170875.980	2977.750	0.000	
52	179721.997	2964.635	0.000	
53	189101.834	2954.257	0.000	
54	198883.035	2938.948	0.000	
55	209232.803	2925.988	0.000	
56	220101.926	2913.374	0.000	
57	231589.149	2898.306	0.000	
58	243634.498	2884.575	0.000	
59	256253.553	2866.518	0.000	
60	269565.667	2849.614	0.000	
61	283598.942	2833.893	0.000	
62	298377.509	2816.562	0.000	
63	313930.661	2798.104	0.000	
64	330188.550	2780.627	0.000	
65	347384.359	2757.477	0.000	
66	365447.410	2737.286	0.000	
67	384415.442	2716.297	0.000	
68	404432.535	2695.990	0.000	
69	425422.428	2673.486	0.000	
70	447542.071	2643.537	0.000	
71	470836.433	2627.140	0.000	
72	495357.802	2594.999	0.000	
73	521141.472	2571.937	0.000	
74	548241.982	2544.303	0.000	
75	576709.110	2514.793	0.000	
76	606736.015	2488.938	0.000	
77	638239.973	2457.544	0.000	
78	671417.058	2423.280	0.000	
79	706340.335	2393.397	0.000	
80	743077.838	2358.633	0.000	
81	781691.659	2326.151	0.000	
82	822260.613	2290.255	0.000	
83	865019.630	2254.271	0.000	
84	910056.126	2216.709	0.000	
85	957459.865	2176.039	0.000	
86	1007148.484	2138.913	0.000	
87	1059569.867	2097.920	0.000	
88	1114642.236	2054.181	0.000	
89	1172662.440	2012.130	0.000	
90	1233544.459	1967.360	0.000	
91	1297798.491	1923.345	0.000	
92	1365156.034	1876.052	0.000	
93	1436144.107	1830.367	0.000	
94	1510907.410	1781.026	0.000	
95	1589386.297	1732.084	0.000	
96	1672155.555	1683.945	0.000	
97	1758927.279	1634.630	0.000	
98	1850565.254	1581.478	0.000	
99	1946785.336	1526.408	0.000	
100	2048005.677	1475.591	0.000	
101	2154418.661	1420.174	0.000	
102	2266496.292	1367.799	0.000	
103	2384179.838	1312.904	0.000	
104	2508227.239	1258.739	0.000	
105	2638638.747	1203.265	0.000	
106	2775916.734	1147.375	0.000	
107	2920358.544	1094.616	0.000	
108	3072225.718	1037.422	0.000	
109	3231800.836	985.572	0.000	
110	3399709.958	929.484	0.000	
111	3576620.544	880.517	0.000	
112	3762518.606	825.544	0.000	
113	3958122.465	772.051	0.000	
114	4164144.312	721.226	0.000	
115	4380649.058	674.722	0.000	
116	4608404.631	623.430	0.000	
117	4847843.897	577.637	0.000	
118	5100215.378	529.987	0.000	
119	5365230.112	486.593	0.000	
120	5644161.779	445.028	0.000	
121	5937593.776	404.970	0.000	
122	6246496.973	363.676	0.000	
123	6571497.481	329.143	0.000	
124	6913216.357	294.937	0.000	
125	7272290.259	263.547	0.000	
126	7650838.031	229.799	0.000	
127	8048653.870	204.628	0.000	
128	8466969.425	180.081	0.000	
