#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.518,1.363)		
1	1022.157	7392.430	0.000	
2	1074.710	7379.082	0.000	
3	1131.887	7377.393	0.000	
4	1190.546	7366.969	0.000	
5	1252.427	7373.835	0.000	
6	1317.661	7374.569	0.000	
7	1386.381	7375.131	0.000	
8	1456.848	7372.064	0.000	
9	1532.911	7371.960	0.000	
10	1612.884	7371.992	0.000	
11	1696.916	7359.363	0.000	
12	1785.160	7356.696	0.000	
13	1877.771	7361.022	0.000	
14	1974.909	7360.387	0.000	
15	2078.980	7354.960	0.000	
16	2185.723	7354.124	0.000	
17	2299.853	7356.659	0.000	
18	2419.306	7352.040	0.000	
19	2546.746	7354.728	0.000	
20	2677.456	7352.029	0.000	
21	2816.655	7355.764	0.000	
22	2964.736	7352.829	0.000	
23	3116.611	7356.912	0.000	
24	3280.725	7356.403	0.000	
25	3449.050	7355.447	0.000	
26	3630.471	7352.122	0.000	
27	3819.582	7350.274	0.000	
28	4016.610	7351.175	0.000	
29	4224.985	7351.530	0.000	
30	4445.185	7349.015	0.000	
31	4677.705	7347.776	0.000	
32	4919.601	7345.559	0.000	
33	5174.669	7344.246	0.000	
34	5443.439	7337.996	0.000	
35	5726.455	7339.257	0.000	
36	6024.276	7334.328	0.000	
37	6341.391	7334.722	0.000	
38	6670.657	7331.197	0.000	
39	7016.494	7332.415	0.000	
40	7379.518	7330.267	0.000	
41	7764.696	7328.947	0.000	
42	8168.561	7322.019	0.000	
43	8591.780	7325.513	0.000	
44	9039.711	7323.066	0.000	
45	9508.614	7316.000	0.000	
46	10004.127	7312.313	0.000	
47	10522.313	7313.512	0.000	
48	11069.103	7312.002	0.000	
49	11645.659	7309.197	0.000	
50	12253.182	7307.523	0.000	
51	12892.900	7306.364	0.000	
52	13560.347	7305.671	0.000	
53	14268.073	7300.001	0.000	
54	15006.082	7298.904	0.000	
55	15786.991	7295.478	0.000	
56	16607.086	7296.276	0.000	
57	17473.817	7292.544	0.000	
58	18382.660	7291.906	0.000	
59	19334.791	7287.356	0.000	
60	20339.214	7280.443	0.000	
61	21398.049	7277.718	0.000	
62	22513.119	7270.271	0.000	
63	23686.632	7266.136	0.000	
64	24913.319	7259.282	0.000	
65	26210.774	7257.457	0.000	
66	27573.663	7245.925	0.000	
67	29004.835	7242.938	0.000	
68	30515.161	7238.944	0.000	
69	32098.886	7229.202	0.000	
70	33767.853	7225.930	0.000	
71	35525.454	7215.069	0.000	
72	37375.636	7204.674	0.000	
73	39321.060	7198.134	0.000	
74	41365.842	7187.709	0.000	
75	43513.738	7175.489	0.000	
76	45779.322	7170.226	0.000	
77	48156.352	7159.425	0.000	
78	50659.623	7149.103	0.000	
79	53294.647	7135.011	0.000	
80	56066.557	7130.424	0.000	
81	58980.039	7115.350	0.000	
82	62041.040	7104.229	0.000	
83	65267.284	7090.070	0.000	
84	68665.369	7076.972	0.000	
85	72242.066	7063.670	0.000	
86	75991.162	7047.837	0.000	
87	79946.449	7036.699	0.000	
88	84101.758	7020.730	0.000	
89	88479.487	7006.242	0.000	
90	93073.144	6985.425	0.000	
91	97921.226	6969.378	0.000	
92	103003.474	6949.166	0.000	
93	108359.652	6935.039	0.000	
94	114000.677	6908.134	0.000	
95	119922.050	6882.846	0.000	
96	126167.139	6869.348	0.000	
97	132714.222	6837.205	0.000	
98	139628.471	6812.377	0.000	
99	146888.449	6780.445	0.000	
100	154525.706	6766.342	0.000	
101	162554.756	6727.504	0.000	
102	171011.215	6708.258	0.000	
103	179890.650	6673.882	0.000	
104	189250.249	6632.792	0.000	
105	199090.031	6603.374	0.000	
106	209447.902	6575.832	0.000	
107	220346.296	6536.288	0.000	
108	231804.947	6492.951	0.000	
109	243845.176	6452.650	0.000	
110	256514.221	6413.387	0.000	
111	269862.442	6378.845	0.000	
112	283888.785	6335.641	0.000	
113	298647.447	6284.248	0.000	
114	314192.165	6238.222	0.000	
115	330527.837	6188.571	0.000	
116	347712.404	6142.014	0.000	
117	365778.527	6083.266	0.000	
118	384820.408	6029.727	0.000	
119	404816.246	5970.035	0.000	
120	425862.141	5914.160	0.000	
121	448002.112	5849.108	0.000	
122	471309.413	5785.631	0.000	
123	495831.285	5719.067	0.000	
124	521614.587	5650.415	0.000	
125	548707.358	5577.973	0.000	
126	577269.467	5505.135	0.000	
127	607285.386	5429.169	0.000	
128	638848.046	5347.915	0.000	
