#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.550,1.352)		
1	1022.157	6862.564	0.000	
2	1074.710	6841.902	0.000	
3	1131.887	6841.933	0.000	
4	1190.546	6841.241	0.000	
5	1252.427	6846.305	0.000	
6	1317.661	6847.766	0.000	
7	1386.381	6847.099	0.000	
8	1456.848	6842.292	0.000	
9	1532.911	6847.110	0.000	
10	1612.884	6844.966	0.000	
11	1696.916	6846.311	0.000	
12	1785.160	6843.402	0.000	
13	1877.771	6846.470	0.000	
14	1974.909	6846.716	0.000	
15	2078.980	6845.799	0.000	
16	2185.723	6846.443	0.000	
17	2299.853	6848.640	0.000	
18	2419.306	6844.435	0.000	
19	2546.746	6842.687	0.000	
20	2677.456	6843.285	0.000	
21	2816.655	6841.213	0.000	
22	2964.736	6843.141	0.000	
23	3116.611	6839.257	0.000	
24	3280.725	6844.375	0.000	
25	3449.050	6845.882	0.000	
26	3630.471	6842.367	0.000	
27	3819.582	6839.545	0.000	
28	4016.610	6842.400	0.000	
29	4224.985	6838.408	0.000	
30	4445.185	6840.034	0.000	
31	4677.705	6840.932	0.000	
32	4919.601	6837.691	0.000	
33	5174.669	6839.587	0.000	
34	5443.439	6842.021	0.000	
35	5726.455	6837.935	0.000	
36	6024.276	6844.126	0.000	
37	6341.391	6846.575	0.000	
38	6670.657	6849.239	0.000	
39	7016.494	6846.888	0.000	
40	7379.518	6847.539	0.000	
41	7764.696	6849.270	0.000	
42	8168.561	6853.707	0.000	
43	8591.780	6847.018	0.000	
44	9039.711	6847.074	0.000	
45	9508.614	6847.855	0.000	
46	10004.127	6841.723	0.000	
47	10522.313	6840.725	0.000	
48	11069.103	6839.729	0.000	
49	11645.659	6839.041	0.000	
50	12253.182	6835.371	0.000	
51	12892.900	6832.701	0.000	
52	13560.347	6829.343	0.000	
53	14268.073	6830.107	0.000	
54	15006.082	6823.079	0.000	
55	15786.991	6824.685	0.000	
56	16607.086	6818.842	0.000	
57	17473.817	6816.382	0.000	
58	18382.660	6816.237	0.000	
59	19334.791	6809.506	0.000	
60	20339.214	6807.086	0.000	
61	21398.049	6809.727	0.000	
62	22513.119	6803.423	0.000	
63	23686.632	6796.102	0.000	
64	24913.319	6788.743	0.000	
65	26210.774	6789.052	0.000	
66	27573.663	6787.044	0.000	
67	29004.835	6780.050	0.000	
68	30515.161	6782.368	0.000	
69	32098.886	6771.883	0.000	
70	33767.853	6768.481	0.000	
71	35525.454	6765.128	0.000	
72	37375.636	6767.303	0.000	
73	39321.060	6753.197	0.000	
74	41365.842	6743.201	0.000	
75	43513.738	6745.859	0.000	
76	45779.322	6733.867	0.000	
77	48156.352	6719.471	0.000	
78	50659.623	6719.209	0.000	
79	53294.647	6707.919	0.000	
80	56066.557	6695.857	0.000	
81	58980.039	6688.190	0.000	
82	62041.040	6674.385	0.000	
83	65267.284	6666.683	0.000	
84	68665.369	6652.228	0.000	
85	72242.066	6638.355	0.000	
86	75991.162	6627.505	0.000	
87	79946.449	6615.823	0.000	
88	84101.758	6594.098	0.000	
89	88479.487	6586.172	0.000	
90	93073.144	6568.029	0.000	
91	97921.226	6554.507	0.000	
92	103003.474	6537.540	0.000	
93	108359.652	6517.426	0.000	
94	114000.677	6497.584	0.000	
95	119922.050	6484.757	0.000	
96	126167.139	6461.569	0.000	
97	132714.222	6436.998	0.000	
98	139628.471	6416.310	0.000	
99	146888.449	6393.409	0.000	
100	154525.706	6369.006	0.000	
101	162554.756	6347.906	0.000	
102	171011.215	6322.594	0.000	
103	179890.650	6302.613	0.000	
104	189250.249	6276.508	0.000	
105	199090.031	6239.525	0.000	
106	209447.902	6209.602	0.000	
107	220346.296	6182.915	0.000	
108	231804.947	6154.428	0.000	
109	243845.176	6120.210	0.000	
110	256514.221	6082.514	0.000	
111	269862.442	6044.331	0.000	
112	283888.785	6004.311	0.000	
113	298647.447	5967.516	0.000	
114	314192.165	5920.290	0.000	
115	330527.837	5880.051	0.000	
116	347712.404	5836.195	0.000	
117	365778.527	5788.322	0.000	
118	384820.408	5744.170	0.000	
119	404816.246	5695.198	0.000	
120	425862.141	5637.347	0.000	
121	448002.112	5587.278	0.000	
122	471309.413	5529.608	0.000	
123	495831.285	5471.751	0.000	
124	521614.587	5412.093	0.000	
125	548707.358	5352.459	0.000	
126	577269.467	5287.082	0.000	
127	607285.386	5221.087	0.000	
128	638848.046	5158.325	0.000	
