#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.527,1.358)		
1	1022.157	6266.886	0.000	
2	1445.606	6257.159	0.000	
3	1940.091	6254.731	0.000	
4	2509.649	6253.526	0.000	
5	3152.410	6249.976	0.000	
6	3865.316	6245.357	0.000	
7	4654.186	6246.383	0.000	
8	5516.260	6242.300	0.000	
9	6447.587	6239.979	0.000	
10	7455.770	6235.946	0.000	
11	8537.156	6229.460	0.000	
12	9686.904	6232.515	0.000	
13	10914.400	6226.586	0.000	
14	12215.099	6221.106	0.000	
15	13583.268	6220.959	0.000	
16	15030.076	6210.741	0.000	
17	16550.210	6207.575	0.000	
18	18136.806	6204.716	0.000	
19	19802.731	6197.652	0.000	
20	21542.192	6192.446	0.000	
21	23347.206	6190.192	0.000	
22	25232.414	6184.139	0.000	
23	27191.202	6176.303	0.000	
24	29214.635	6166.444	0.000	
25	31319.549	6162.759	0.000	
26	33497.242	6154.138	0.000	
27	35739.092	6150.362	0.000	
28	38063.334	6143.444	0.000	
29	40460.310	6141.242	0.000	
30	42920.578	6138.231	0.000	
31	45464.147	6126.376	0.000	
32	48080.930	6117.995	0.000	
33	50759.631	6112.123	0.000	
34	53521.989	6100.231	0.000	
35	56358.099	6095.304	0.000	
36	59255.218	6090.123	0.000	
37	62236.859	6082.730	0.000	
38	65292.296	6075.063	0.000	
39	68407.834	6066.712	0.000	
40	71609.397	6050.012	0.000	
41	74883.523	6045.717	0.000	
42	78217.478	6035.615	0.000	
43	81638.369	6027.256	0.000	
44	85131.778	6016.695	0.000	
45	88684.151	6005.778	0.000	
46	92324.369	5996.491	0.000	
47	96037.802	5987.538	0.000	
48	99808.608	5973.054	0.000	
49	103667.398	5960.465	0.000	
50	107600.158	5952.183	0.000	
51	111589.382	5943.075	0.000	
52	115667.456	5931.646	0.000	
53	119819.542	5920.225	0.000	
54	124027.184	5907.902	0.000	
55	128325.397	5893.524	0.000	
56	132695.956	5887.054	0.000	
57	137122.016	5872.445	0.000	
58	141639.556	5860.319	0.000	
59	146229.398	5851.887	0.000	
60	150873.876	5840.008	0.000	
61	155610.743	5823.471	0.000	
62	160420.825	5818.667	0.000	
63	165283.736	5803.289	0.000	
64	170238.959	5793.096	0.000	
65	175268.368	5783.754	0.000	
66	180369.978	5766.831	0.000	
67	185524.204	5756.276	0.000	
68	190772.940	5740.644	0.000	
69	196094.890	5732.632	0.000	
70	201467.549	5716.897	0.000	
71	206934.540	5699.139	0.000	
72	212475.818	5686.546	0.000	
73	218066.895	5675.982	0.000	
74	223753.169	5659.404	0.000	
75	229513.774	5644.207	0.000	
76	235323.269	5628.984	0.000	
77	241230.000	5613.790	0.000	
78	247208.759	5601.126	0.000	
79	253236.672	5585.219	0.000	
80	259362.730	5571.665	0.000	
81	265560.772	5562.960	0.000	
82	271807.104	5547.269	0.000	
83	278152.489	5538.142	0.000	
84	284571.089	5515.837	0.000	
85	291035.852	5507.312	0.000	
86	297599.276	5491.979	0.000	
87	304237.203	5477.749	0.000	
88	310920.385	5458.838	0.000	
89	317703.093	5446.253	0.000	
90	324560.346	5425.064	0.000	
91	331461.946	5411.971	0.000	
92	338465.327	5399.606	0.000	
93	345540.518	5383.504	0.000	
94	352660.537	5370.719	0.000	
95	359883.244	5350.490	0.000	
96	367177.719	5334.152	0.000	
97	374516.155	5316.947	0.000	
98	381958.190	5302.089	0.000	
99	389473.439	5287.749	0.000	
100	397030.308	5272.997	0.000	
101	404690.164	5255.266	0.000	
102	412424.740	5236.809	0.000	
103	420200.027	5220.357	0.000	
104	428079.167	5210.625	0.000	
105	436033.070	5193.099	0.000	
106	444026.776	5176.051	0.000	
107	452126.805	5165.940	0.000	
108	460298.429	5148.152	0.000	
109	468510.553	5132.531	0.000	
110	476829.909	5116.266	0.000	
111	485220.817	5098.810	0.000	
112	493651.359	5082.881	0.000	
113	502190.042	5063.815	0.000	
114	510801.940	5049.046	0.000	
115	519450.914	5029.615	0.000	
116	528207.204	5013.921	0.000	
117	537038.429	4994.529	0.000	
118	545905.821	4981.494	0.000	
119	554881.394	4961.671	0.000	
120	563931.946	4942.431	0.000	
121	573017.756	4923.084	0.000	
122	582214.435	4908.067	0.000	
123	591482.492	4888.370	0.000	
124	600786.721	4874.027	0.000	
125	610202.726	4853.666	0.000	
126	619690.067	4836.303	0.000	
127	629212.714	4819.947	0.000	
128	638848.046	4804.149	0.000	
