#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.515,1.361)		
1	1022.157	7318.172	0.000	
2	1074.710	7311.579	0.000	
3	1131.887	7317.526	0.000	
4	1190.546	7320.998	0.000	
5	1252.427	7328.580	0.000	
6	1317.661	7332.867	0.000	
7	1386.381	7338.990	0.000	
8	1456.848	7345.271	0.000	
9	1532.911	7346.718	0.000	
10	1612.884	7348.178	0.000	
11	1696.916	7346.952	0.000	
12	1785.160	7343.282	0.000	
13	1877.771	7344.018	0.000	
14	1974.909	7350.413	0.000	
15	2078.980	7348.032	0.000	
16	2185.723	7347.453	0.000	
17	2299.853	7342.459	0.000	
18	2419.306	7346.351	0.000	
19	2546.746	7344.829	0.000	
20	2677.456	7345.605	0.000	
21	2816.655	7344.521	0.000	
22	2964.736	7342.849	0.000	
23	3116.611	7342.581	0.000	
24	3280.725	7340.419	0.000	
25	3449.050	7341.335	0.000	
26	3630.471	7338.127	0.000	
27	3819.582	7338.096	0.000	
28	4016.610	7338.506	0.000	
29	4224.985	7338.751	0.000	
30	4445.185	7334.831	0.000	
31	4677.705	7342.552	0.000	
32	4919.601	7344.682	0.000	
33	5174.669	7341.687	0.000	
34	5443.439	7340.182	0.000	
35	5726.455	7341.481	0.000	
36	6024.276	7340.612	0.000	
37	6341.391	7339.421	0.000	
38	6670.657	7339.299	0.000	
39	7016.494	7335.490	0.000	
40	7379.518	7335.825	0.000	
41	7764.696	7337.157	0.000	
42	8168.561	7333.130	0.000	
43	8591.780	7331.678	0.000	
44	9039.711	7324.852	0.000	
45	9508.614	7325.191	0.000	
46	10004.127	7325.572	0.000	
47	10522.313	7322.721	0.000	
48	11069.103	7318.152	0.000	
49	11645.659	7315.494	0.000	
50	12253.182	7316.351	0.000	
51	12892.900	7319.428	0.000	
52	13560.347	7313.804	0.000	
53	14268.073	7318.735	0.000	
54	15006.082	7309.254	0.000	
55	15786.991	7312.741	0.000	
56	16607.086	7306.681	0.000	
57	17473.817	7307.360	0.000	
58	18382.660	7298.236	0.000	
59	19334.791	7291.225	0.000	
60	20339.214	7287.825	0.000	
61	21398.049	7282.671	0.000	
62	22513.119	7279.903	0.000	
63	23686.632	7270.083	0.000	
64	24913.319	7264.858	0.000	
65	26210.774	7258.818	0.000	
66	27573.663	7253.115	0.000	
67	29004.835	7247.133	0.000	
68	30515.161	7241.693	0.000	
69	32098.886	7230.804	0.000	
70	33767.853	7224.151	0.000	
71	35525.454	7217.022	0.000	
72	37375.636	7210.027	0.000	
73	39321.060	7201.941	0.000	
74	41365.842	7199.286	0.000	
75	43513.738	7193.708	0.000	
76	45779.322	7185.699	0.000	
77	48156.352	7179.076	0.000	
78	50659.623	7164.502	0.000	
79	53294.647	7155.512	0.000	
80	56066.557	7144.646	0.000	
81	58980.039	7135.198	0.000	
82	62041.040	7118.940	0.000	
83	65267.284	7102.854	0.000	
84	68665.369	7091.741	0.000	
85	72242.066	7076.632	0.000	
86	75991.162	7055.691	0.000	
87	79946.449	7044.200	0.000	
88	84101.758	7022.969	0.000	
89	88479.487	7007.181	0.000	
90	93073.144	6986.871	0.000	
91	97921.226	6972.033	0.000	
92	103003.474	6949.322	0.000	
93	108359.652	6931.035	0.000	
94	114000.677	6907.451	0.000	
95	119922.050	6886.874	0.000	
96	126167.139	6866.219	0.000	
97	132714.222	6840.333	0.000	
98	139628.471	6822.148	0.000	
99	146888.449	6792.247	0.000	
100	154525.706	6770.964	0.000	
101	162554.756	6741.028	0.000	
102	171011.215	6716.096	0.000	
103	179890.650	6688.025	0.000	
104	189250.249	6651.880	0.000	
105	199090.031	6621.116	0.000	
106	209447.902	6584.366	0.000	
107	220346.296	6546.058	0.000	
108	231804.947	6506.171	0.000	
109	243845.176	6463.709	0.000	
110	256514.221	6427.212	0.000	
111	269862.442	6381.887	0.000	
112	283888.785	6336.615	0.000	
113	298647.447	6291.908	0.000	
114	314192.165	6242.043	0.000	
115	330527.837	6193.155	0.000	
116	347712.404	6141.786	0.000	
117	365778.527	6089.043	0.000	
118	384820.408	6033.411	0.000	
119	404816.246	5974.360	0.000	
120	425862.141	5914.345	0.000	
121	448002.112	5853.649	0.000	
122	471309.413	5789.406	0.000	
123	495831.285	5731.238	0.000	
124	521614.587	5660.278	0.000	
125	548707.358	5593.461	0.000	
126	577269.467	5520.838	0.000	
127	607285.386	5444.755	0.000	
128	638848.046	5371.237	0.000	
