#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.493,1.371)		
1	1022.157	7446.618	0.000	
2	1445.606	7431.055	0.000	
3	1940.091	7428.282	0.000	
4	2509.649	7431.010	0.000	
5	3152.410	7430.730	0.000	
6	3865.316	7427.217	0.000	
7	4654.186	7432.002	0.000	
8	5516.260	7429.577	0.000	
9	6447.587	7426.853	0.000	
10	7455.770	7421.527	0.000	
11	8537.156	7418.756	0.000	
12	9686.904	7417.709	0.000	
13	10914.400	7415.546	0.000	
14	12215.099	7415.181	0.000	
15	13583.268	7407.643	0.000	
16	15030.076	7402.370	0.000	
17	16550.210	7395.762	0.000	
18	18136.806	7393.651	0.000	
19	19802.731	7389.901	0.000	
20	21542.192	7381.128	0.000	
21	23347.206	7376.287	0.000	
22	25232.414	7373.855	0.000	
23	27191.202	7367.517	0.000	
24	29214.635	7366.107	0.000	
25	31319.549	7352.185	0.000	
26	33497.242	7343.352	0.000	
27	35739.092	7331.297	0.000	
28	38063.334	7326.237	0.000	
29	40460.310	7317.315	0.000	
30	42920.578	7307.466	0.000	
31	45464.147	7300.092	0.000	
32	48080.930	7287.230	0.000	
33	50759.631	7281.259	0.000	
34	53521.989	7267.255	0.000	
35	56358.099	7262.047	0.000	
36	59255.218	7245.989	0.000	
37	62236.859	7234.670	0.000	
38	65292.296	7223.168	0.000	
39	68407.834	7209.769	0.000	
40	71609.397	7193.888	0.000	
41	74883.523	7180.153	0.000	
42	78217.478	7170.140	0.000	
43	81638.369	7155.227	0.000	
44	85131.778	7142.232	0.000	
45	88684.151	7130.319	0.000	
46	92324.369	7114.632	0.000	
47	96037.802	7102.258	0.000	
48	99808.608	7086.850	0.000	
49	103667.398	7074.929	0.000	
50	107600.158	7057.562	0.000	
51	111589.382	7046.434	0.000	
52	115667.456	7033.263	0.000	
53	119819.542	7014.734	0.000	
54	124027.184	6999.552	0.000	
55	128325.397	6983.864	0.000	
56	132695.956	6969.696	0.000	
57	137122.016	6956.265	0.000	
58	141639.556	6938.433	0.000	
59	146229.398	6921.078	0.000	
60	150873.876	6898.626	0.000	
61	155610.743	6881.907	0.000	
62	160420.825	6872.249	0.000	
63	165283.736	6851.585	0.000	
64	170238.959	6825.497	0.000	
65	175268.368	6811.891	0.000	
66	180369.978	6793.611	0.000	
67	185524.204	6771.267	0.000	
68	190772.940	6756.158	0.000	
69	196094.890	6737.123	0.000	
70	201467.549	6717.894	0.000	
71	206934.540	6697.223	0.000	
72	212475.818	6678.872	0.000	
73	218066.895	6656.098	0.000	
74	223753.169	6633.754	0.000	
75	229513.774	6615.525	0.000	
76	235323.269	6599.322	0.000	
77	241230.000	6578.246	0.000	
78	247208.759	6559.907	0.000	
79	253236.672	6541.840	0.000	
80	259362.730	6522.779	0.000	
81	265560.772	6501.872	0.000	
82	271807.104	6482.783	0.000	
83	278152.489	6465.565	0.000	
84	284571.089	6438.362	0.000	
85	291035.852	6422.352	0.000	
86	297599.276	6399.129	0.000	
87	304237.203	6375.807	0.000	
88	310920.385	6352.188	0.000	
89	317703.093	6331.897	0.000	
90	324560.346	6310.251	0.000	
91	331461.946	6289.970	0.000	
92	338465.327	6269.559	0.000	
93	345540.518	6245.733	0.000	
94	352660.537	6223.486	0.000	
95	359883.244	6200.503	0.000	
96	367177.719	6178.513	0.000	
97	374516.155	6156.152	0.000	
98	381958.190	6134.146	0.000	
99	389473.439	6106.714	0.000	
100	397030.308	6087.240	0.000	
101	404690.164	6061.432	0.000	
102	412424.740	6037.791	0.000	
103	420200.027	6015.026	0.000	
104	428079.167	5994.416	0.000	
105	436033.070	5972.649	0.000	
106	444026.776	5953.855	0.000	
107	452126.805	5928.840	0.000	
108	460298.429	5907.024	0.000	
109	468510.553	5882.871	0.000	
110	476829.909	5860.968	0.000	
111	485220.817	5832.284	0.000	
112	493651.359	5814.397	0.000	
113	502190.042	5787.161	0.000	
114	510801.940	5763.781	0.000	
115	519450.914	5744.944	0.000	
116	528207.204	5715.999	0.000	
117	537038.429	5690.498	0.000	
118	545905.821	5666.816	0.000	
119	554881.394	5637.319	0.000	
120	563931.946	5617.109	0.000	
121	573017.756	5589.255	0.000	
122	582214.435	5565.294	0.000	
123	591482.492	5537.931	0.000	
124	600786.721	5519.197	0.000	
125	610202.726	5492.597	0.000	
126	619690.067	5463.876	0.000	
127	629212.714	5445.339	0.000	
128	638848.046	5421.145	0.000	
