#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.506,1.354)		
1	1022.157	7131.398	0.000	
2	1074.710	7119.569	0.000	
3	1131.887	7123.157	0.000	
4	1190.546	7135.063	0.000	
5	1252.427	7134.240	0.000	
6	1317.661	7143.016	0.000	
7	1386.381	7146.709	0.000	
8	1456.848	7141.064	0.000	
9	1532.911	7143.368	0.000	
10	1612.884	7139.819	0.000	
11	1696.916	7133.465	0.000	
12	1785.160	7130.972	0.000	
13	1877.771	7133.859	0.000	
14	1974.909	7131.390	0.000	
15	2078.980	7129.911	0.000	
16	2185.723	7126.331	0.000	
17	2299.853	7124.490	0.000	
18	2419.306	7125.009	0.000	
19	2546.746	7117.784	0.000	
20	2677.456	7116.798	0.000	
21	2816.655	7110.271	0.000	
22	2964.736	7111.669	0.000	
23	3116.611	7111.713	0.000	
24	3280.725	7106.650	0.000	
25	3449.050	7117.459	0.000	
26	3630.471	7112.496	0.000	
27	3819.582	7120.267	0.000	
28	4016.610	7113.927	0.000	
29	4224.985	7121.887	0.000	
30	4445.185	7110.398	0.000	
31	4677.705	7108.978	0.000	
32	4919.601	7111.978	0.000	
33	5174.669	7109.648	0.000	
34	5443.439	7101.839	0.000	
35	5726.455	7102.838	0.000	
36	6024.276	7101.800	0.000	
37	6341.391	7099.292	0.000	
38	6670.657	7098.518	0.000	
39	7016.494	7092.985	0.000	
40	7379.518	7096.120	0.000	
41	7764.696	7098.886	0.000	
42	8168.561	7098.607	0.000	
43	8591.780	7103.875	0.000	
44	9039.711	7098.040	0.000	
45	9508.614	7101.948	0.000	
46	10004.127	7103.822	0.000	
47	10522.313	7101.531	0.000	
48	11069.103	7105.191	0.000	
49	11645.659	7103.477	0.000	
50	12253.182	7100.455	0.000	
51	12892.900	7095.758	0.000	
52	13560.347	7087.985	0.000	
53	14268.073	7084.540	0.000	
54	15006.082	7081.756	0.000	
55	15786.991	7076.248	0.000	
56	16607.086	7070.821	0.000	
57	17473.817	7068.568	0.000	
58	18382.660	7068.272	0.000	
59	19334.791	7055.962	0.000	
60	20339.214	7045.891	0.000	
61	21398.049	7046.216	0.000	
62	22513.119	7037.424	0.000	
63	23686.632	7032.544	0.000	
64	24913.319	7024.086	0.000	
65	26210.774	7013.792	0.000	
66	27573.663	7009.558	0.000	
67	29004.835	7002.846	0.000	
68	30515.161	6997.718	0.000	
69	32098.886	6997.428	0.000	
70	33767.853	6985.624	0.000	
71	35525.454	6984.929	0.000	
72	37375.636	6979.966	0.000	
73	39321.060	6974.668	0.000	
74	41365.842	6967.841	0.000	
75	43513.738	6965.290	0.000	
76	45779.322	6962.173	0.000	
77	48156.352	6942.189	0.000	
78	50659.623	6937.686	0.000	
79	53294.647	6924.908	0.000	
80	56066.557	6909.689	0.000	
81	58980.039	6893.515	0.000	
82	62041.040	6879.589	0.000	
83	65267.284	6861.251	0.000	
84	68665.369	6852.109	0.000	
85	72242.066	6829.441	0.000	
86	75991.162	6816.190	0.000	
87	79946.449	6798.339	0.000	
88	84101.758	6781.214	0.000	
89	88479.487	6765.061	0.000	
90	93073.144	6752.334	0.000	
91	97921.226	6732.307	0.000	
92	103003.474	6710.311	0.000	
93	108359.652	6693.603	0.000	
94	114000.677	6670.674	0.000	
95	119922.050	6649.709	0.000	
96	126167.139	6628.970	0.000	
97	132714.222	6605.139	0.000	
98	139628.471	6574.428	0.000	
99	146888.449	6551.039	0.000	
100	154525.706	6521.062	0.000	
101	162554.756	6490.104	0.000	
102	171011.215	6451.962	0.000	
103	179890.650	6423.686	0.000	
104	189250.249	6380.739	0.000	
105	199090.031	6352.092	0.000	
106	209447.902	6309.361	0.000	
107	220346.296	6276.690	0.000	
108	231804.947	6229.262	0.000	
109	243845.176	6188.276	0.000	
110	256514.221	6145.130	0.000	
111	269862.442	6098.387	0.000	
112	283888.785	6060.073	0.000	
113	298647.447	6021.572	0.000	
114	314192.165	5967.985	0.000	
115	330527.837	5919.567	0.000	
116	347712.404	5869.283	0.000	
117	365778.527	5813.843	0.000	
118	384820.408	5757.926	0.000	
119	404816.246	5706.255	0.000	
120	425862.141	5635.340	0.000	
121	448002.112	5566.682	0.000	
122	471309.413	5501.249	0.000	
123	495831.285	5434.994	0.000	
124	521614.587	5360.017	0.000	
125	548707.358	5283.176	0.000	
126	577269.467	5205.497	0.000	
127	607285.386	5125.212	0.000	
128	638848.046	5044.305	0.000	
