#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.517,1.354)		
1	1022.157	6534.314	0.000	
2	1074.710	6522.477	0.000	
3	1131.887	6529.078	0.000	
4	1190.546	6531.802	0.000	
5	1252.427	6524.586	0.000	
6	1317.661	6525.831	0.000	
7	1386.381	6529.355	0.000	
8	1456.848	6534.332	0.000	
9	1532.911	6527.164	0.000	
10	1612.884	6536.126	0.000	
11	1696.916	6528.382	0.000	
12	1785.160	6534.852	0.000	
13	1877.771	6534.811	0.000	
14	1974.909	6533.907	0.000	
15	2078.980	6535.475	0.000	
16	2185.723	6535.482	0.000	
17	2299.853	6529.627	0.000	
18	2419.306	6536.548	0.000	
19	2546.746	6535.806	0.000	
20	2677.456	6534.594	0.000	
21	2816.655	6536.825	0.000	
22	2964.736	6536.047	0.000	
23	3116.611	6535.700	0.000	
24	3280.725	6535.451	0.000	
25	3449.050	6535.346	0.000	
26	3630.471	6534.500	0.000	
27	3819.582	6533.665	0.000	
28	4016.610	6532.313	0.000	
29	4224.985	6535.300	0.000	
30	4445.185	6536.503	0.000	
31	4677.705	6536.753	0.000	
32	4919.601	6536.742	0.000	
33	5174.669	6536.026	0.000	
34	5443.439	6536.713	0.000	
35	5726.455	6539.508	0.000	
36	6024.276	6535.724	0.000	
37	6341.391	6535.502	0.000	
38	6670.657	6535.579	0.000	
39	7016.494	6537.092	0.000	
40	7379.518	6536.503	0.000	
41	7764.696	6532.748	0.000	
42	8168.561	6530.452	0.000	
43	8591.780	6530.328	0.000	
44	9039.711	6524.686	0.000	
45	9508.614	6524.289	0.000	
46	10004.127	6521.404	0.000	
47	10522.313	6521.657	0.000	
48	11069.103	6517.967	0.000	
49	11645.659	6516.553	0.000	
50	12253.182	6510.593	0.000	
51	12892.900	6509.740	0.000	
52	13560.347	6508.777	0.000	
53	14268.073	6504.503	0.000	
54	15006.082	6500.991	0.000	
55	15786.991	6502.031	0.000	
56	16607.086	6498.008	0.000	
57	17473.817	6495.803	0.000	
58	18382.660	6489.934	0.000	
59	19334.791	6489.860	0.000	
60	20339.214	6485.205	0.000	
61	21398.049	6487.114	0.000	
62	22513.119	6477.154	0.000	
63	23686.632	6476.057	0.000	
64	24913.319	6472.985	0.000	
65	26210.774	6468.222	0.000	
66	27573.663	6465.714	0.000	
67	29004.835	6460.077	0.000	
68	30515.161	6455.713	0.000	
69	32098.886	6450.914	0.000	
70	33767.853	6443.462	0.000	
71	35525.454	6438.027	0.000	
72	37375.636	6430.861	0.000	
73	39321.060	6434.109	0.000	
74	41365.842	6425.158	0.000	
75	43513.738	6422.513	0.000	
76	45779.322	6414.096	0.000	
77	48156.352	6411.628	0.000	
78	50659.623	6405.304	0.000	
79	53294.647	6391.302	0.000	
80	56066.557	6383.838	0.000	
81	58980.039	6373.221	0.000	
82	62041.040	6369.538	0.000	
83	65267.284	6355.344	0.000	
84	68665.369	6344.760	0.000	
85	72242.066	6331.360	0.000	
86	75991.162	6320.029	0.000	
87	79946.449	6306.704	0.000	
88	84101.758	6296.118	0.000	
89	88479.487	6276.259	0.000	
90	93073.144	6266.633	0.000	
91	97921.226	6251.115	0.000	
92	103003.474	6236.916	0.000	
93	108359.652	6220.001	0.000	
94	114000.677	6205.035	0.000	
95	119922.050	6186.591	0.000	
96	126167.139	6171.682	0.000	
97	132714.222	6153.773	0.000	
98	139628.471	6135.856	0.000	
99	146888.449	6112.025	0.000	
100	154525.706	6092.782	0.000	
101	162554.756	6070.442	0.000	
102	171011.215	6042.992	0.000	
103	179890.650	6018.746	0.000	
104	189250.249	5995.599	0.000	
105	199090.031	5968.996	0.000	
106	209447.902	5935.927	0.000	
107	220346.296	5906.185	0.000	
108	231804.947	5879.116	0.000	
109	243845.176	5847.905	0.000	
110	256514.221	5811.742	0.000	
111	269862.442	5778.807	0.000	
112	283888.785	5743.981	0.000	
113	298647.447	5704.288	0.000	
114	314192.165	5665.282	0.000	
115	330527.837	5629.907	0.000	
116	347712.404	5583.374	0.000	
117	365778.527	5540.891	0.000	
118	384820.408	5496.932	0.000	
119	404816.246	5453.474	0.000	
120	425862.141	5406.073	0.000	
121	448002.112	5355.205	0.000	
122	471309.413	5301.072	0.000	
123	495831.285	5249.481	0.000	
124	521614.587	5193.866	0.000	
125	548707.358	5135.830	0.000	
126	577269.467	5074.174	0.000	
127	607285.386	5013.117	0.000	
128	638848.046	4948.360	0.000	
