#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.508,1.365)		
1	1022.157	7576.380	0.000	
2	1074.710	7559.947	0.000	
3	1131.887	7559.467	0.000	
4	1190.546	7559.848	0.000	
5	1252.427	7557.675	0.000	
6	1317.661	7563.417	0.000	
7	1386.381	7560.491	0.000	
8	1456.848	7558.036	0.000	
9	1532.911	7556.152	0.000	
10	1612.884	7553.739	0.000	
11	1696.916	7552.272	0.000	
12	1785.160	7551.488	0.000	
13	1877.771	7549.807	0.000	
14	1974.909	7545.451	0.000	
15	2078.980	7542.819	0.000	
16	2185.723	7541.081	0.000	
17	2299.853	7538.457	0.000	
18	2419.306	7540.612	0.000	
19	2546.746	7534.653	0.000	
20	2677.456	7534.978	0.000	
21	2816.655	7536.185	0.000	
22	2964.736	7532.840	0.000	
23	3116.611	7529.275	0.000	
24	3280.725	7525.306	0.000	
25	3449.050	7528.057	0.000	
26	3630.471	7527.293	0.000	
27	3819.582	7530.262	0.000	
28	4016.610	7526.553	0.000	
29	4224.985	7529.410	0.000	
30	4445.185	7531.458	0.000	
31	4677.705	7529.436	0.000	
32	4919.601	7521.230	0.000	
33	5174.669	7525.764	0.000	
34	5443.439	7523.473	0.000	
35	5726.455	7526.074	0.000	
36	6024.276	7519.247	0.000	
37	6341.391	7515.013	0.000	
38	6670.657	7517.728	0.000	
39	7016.494	7516.870	0.000	
40	7379.518	7514.418	0.000	
41	7764.696	7511.687	0.000	
42	8168.561	7510.812	0.000	
43	8591.780	7503.772	0.000	
44	9039.711	7505.921	0.000	
45	9508.614	7499.380	0.000	
46	10004.127	7499.215	0.000	
47	10522.313	7497.083	0.000	
48	11069.103	7491.555	0.000	
49	11645.659	7489.540	0.000	
50	12253.182	7486.284	0.000	
51	12892.900	7483.126	0.000	
52	13560.347	7476.045	0.000	
53	14268.073	7478.843	0.000	
54	15006.082	7474.033	0.000	
55	15786.991	7475.891	0.000	
56	16607.086	7466.171	0.000	
57	17473.817	7476.705	0.000	
58	18382.660	7464.729	0.000	
59	19334.791	7465.656	0.000	
60	20339.214	7458.332	0.000	
61	21398.049	7452.940	0.000	
62	22513.119	7453.658	0.000	
63	23686.632	7439.881	0.000	
64	24913.319	7441.726	0.000	
65	26210.774	7428.841	0.000	
66	27573.663	7426.498	0.000	
67	29004.835	7419.214	0.000	
68	30515.161	7416.858	0.000	
69	32098.886	7410.896	0.000	
70	33767.853	7397.743	0.000	
71	35525.454	7396.021	0.000	
72	37375.636	7388.360	0.000	
73	39321.060	7375.611	0.000	
74	41365.842	7365.886	0.000	
75	43513.738	7357.895	0.000	
76	45779.322	7342.148	0.000	
77	48156.352	7337.243	0.000	
78	50659.623	7329.295	0.000	
79	53294.647	7319.390	0.000	
80	56066.557	7306.103	0.000	
81	58980.039	7292.210	0.000	
82	62041.040	7282.492	0.000	
83	65267.284	7265.022	0.000	
84	68665.369	7257.659	0.000	
85	72242.066	7243.224	0.000	
86	75991.162	7225.863	0.000	
87	79946.449	7211.174	0.000	
88	84101.758	7191.576	0.000	
89	88479.487	7174.461	0.000	
90	93073.144	7154.996	0.000	
91	97921.226	7127.308	0.000	
92	103003.474	7113.036	0.000	
93	108359.652	7093.475	0.000	
94	114000.677	7067.635	0.000	
95	119922.050	7044.426	0.000	
96	126167.139	7018.173	0.000	
97	132714.222	6995.534	0.000	
98	139628.471	6965.432	0.000	
99	146888.449	6936.293	0.000	
100	154525.706	6908.812	0.000	
101	162554.756	6877.818	0.000	
102	171011.215	6845.242	0.000	
103	179890.650	6813.507	0.000	
104	189250.249	6779.767	0.000	
105	199090.031	6746.945	0.000	
106	209447.902	6705.382	0.000	
107	220346.296	6665.545	0.000	
108	231804.947	6625.368	0.000	
109	243845.176	6589.024	0.000	
110	256514.221	6541.767	0.000	
111	269862.442	6499.809	0.000	
112	283888.785	6450.997	0.000	
113	298647.447	6405.506	0.000	
114	314192.165	6353.274	0.000	
115	330527.837	6300.712	0.000	
116	347712.404	6243.926	0.000	
117	365778.527	6189.285	0.000	
118	384820.408	6125.101	0.000	
119	404816.246	6067.622	0.000	
120	425862.141	6000.457	0.000	
121	448002.112	5934.224	0.000	
122	471309.413	5865.919	0.000	
123	495831.285	5793.243	0.000	
124	521614.587	5721.495	0.000	
125	548707.358	5651.544	0.000	
126	577269.467	5574.468	0.000	
127	607285.386	5492.728	0.000	
128	638848.046	5407.887	0.000	
