#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.501,1.375)		
1	1022.157	7092.789	0.000	
2	1445.606	7082.012	0.000	
3	1940.091	7087.767	0.000	
4	2509.649	7095.079	0.000	
5	3152.410	7097.647	0.000	
6	3865.316	7093.068	0.000	
7	4654.186	7093.064	0.000	
8	5516.260	7094.918	0.000	
9	6447.587	7093.547	0.000	
10	7455.770	7089.519	0.000	
11	8537.156	7089.995	0.000	
12	9686.904	7084.819	0.000	
13	10914.400	7084.896	0.000	
14	12215.099	7078.117	0.000	
15	13583.268	7078.856	0.000	
16	15030.076	7071.104	0.000	
17	16550.210	7065.937	0.000	
18	18136.806	7059.800	0.000	
19	19802.731	7048.455	0.000	
20	21542.192	7044.021	0.000	
21	23347.206	7034.880	0.000	
22	25232.414	7033.937	0.000	
23	27191.202	7029.884	0.000	
24	29214.635	7027.284	0.000	
25	31319.549	7021.645	0.000	
26	33497.242	7015.439	0.000	
27	35739.092	7004.787	0.000	
28	38063.334	6996.958	0.000	
29	40460.310	6988.872	0.000	
30	42920.578	6978.749	0.000	
31	45464.147	6963.347	0.000	
32	48080.930	6948.409	0.000	
33	50759.631	6936.882	0.000	
34	53521.989	6922.447	0.000	
35	56358.099	6913.016	0.000	
36	59255.218	6899.859	0.000	
37	62236.859	6883.860	0.000	
38	65292.296	6870.686	0.000	
39	68407.834	6853.361	0.000	
40	71609.397	6834.579	0.000	
41	74883.523	6820.661	0.000	
42	78217.478	6802.413	0.000	
43	81638.369	6783.697	0.000	
44	85131.778	6767.360	0.000	
45	88684.151	6752.073	0.000	
46	92324.369	6735.265	0.000	
47	96037.802	6725.298	0.000	
48	99808.608	6703.802	0.000	
49	103667.398	6686.764	0.000	
50	107600.158	6672.739	0.000	
51	111589.382	6656.756	0.000	
52	115667.456	6640.283	0.000	
53	119819.542	6623.660	0.000	
54	124027.184	6612.482	0.000	
55	128325.397	6595.597	0.000	
56	132695.956	6582.922	0.000	
57	137122.016	6566.278	0.000	
58	141639.556	6552.729	0.000	
59	146229.398	6537.047	0.000	
60	150873.876	6525.499	0.000	
61	155610.743	6505.823	0.000	
62	160420.825	6483.213	0.000	
63	165283.736	6466.326	0.000	
64	170238.959	6447.445	0.000	
65	175268.368	6422.276	0.000	
66	180369.978	6399.846	0.000	
67	185524.204	6379.682	0.000	
68	190772.940	6353.650	0.000	
69	196094.890	6336.677	0.000	
70	201467.549	6315.990	0.000	
71	206934.540	6288.566	0.000	
72	212475.818	6267.163	0.000	
73	218066.895	6243.245	0.000	
74	223753.169	6221.057	0.000	
75	229513.774	6197.981	0.000	
76	235323.269	6184.218	0.000	
77	241230.000	6156.666	0.000	
78	247208.759	6136.962	0.000	
79	253236.672	6118.405	0.000	
80	259362.730	6096.410	0.000	
81	265560.772	6077.165	0.000	
82	271807.104	6061.406	0.000	
83	278152.489	6041.417	0.000	
84	284571.089	6017.389	0.000	
85	291035.852	6002.161	0.000	
86	297599.276	5984.423	0.000	
87	304237.203	5959.340	0.000	
88	310920.385	5940.726	0.000	
89	317703.093	5921.714	0.000	
90	324560.346	5896.536	0.000	
91	331461.946	5870.644	0.000	
92	338465.327	5848.787	0.000	
93	345540.518	5828.354	0.000	
94	352660.537	5795.095	0.000	
95	359883.244	5776.850	0.000	
96	367177.719	5748.831	0.000	
97	374516.155	5724.060	0.000	
98	381958.190	5702.480	0.000	
99	389473.439	5681.203	0.000	
100	397030.308	5656.193	0.000	
101	404690.164	5635.227	0.000	
102	412424.740	5608.287	0.000	
103	420200.027	5587.552	0.000	
104	428079.167	5562.755	0.000	
105	436033.070	5544.001	0.000	
106	444026.776	5527.954	0.000	
107	452126.805	5505.718	0.000	
108	460298.429	5483.456	0.000	
109	468510.553	5461.514	0.000	
110	476829.909	5436.710	0.000	
111	485220.817	5413.843	0.000	
112	493651.359	5386.166	0.000	
113	502190.042	5363.273	0.000	
114	510801.940	5336.807	0.000	
115	519450.914	5305.575	0.000	
116	528207.204	5291.035	0.000	
117	537038.429	5262.733	0.000	
118	545905.821	5236.127	0.000	
119	554881.394	5210.848	0.000	
120	563931.946	5183.662	0.000	
121	573017.756	5157.806	0.000	
122	582214.435	5132.366	0.000	
123	591482.492	5103.685	0.000	
124	600786.721	5084.908	0.000	
125	610202.726	5064.842	0.000	
126	619690.067	5045.396	0.000	
127	629212.714	5023.070	0.000	
128	638848.046	4995.034	0.000	
