#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.546,1.366)		
1	1022.157	6884.614	0.000	
2	1445.606	6875.961	0.000	
3	1940.091	6863.979	0.000	
4	2509.649	6865.124	0.000	
5	3152.410	6862.760	0.000	
6	3865.316	6856.944	0.000	
7	4654.186	6851.168	0.000	
8	5516.260	6854.351	0.000	
9	6447.587	6847.269	0.000	
10	7455.770	6842.860	0.000	
11	8537.156	6837.796	0.000	
12	9686.904	6836.246	0.000	
13	10914.400	6829.387	0.000	
14	12215.099	6829.749	0.000	
15	13583.268	6826.269	0.000	
16	15030.076	6820.259	0.000	
17	16550.210	6817.497	0.000	
18	18136.806	6811.809	0.000	
19	19802.731	6809.490	0.000	
20	21542.192	6804.629	0.000	
21	23347.206	6798.409	0.000	
22	25232.414	6789.113	0.000	
23	27191.202	6785.096	0.000	
24	29214.635	6778.580	0.000	
25	31319.549	6764.623	0.000	
26	33497.242	6760.686	0.000	
27	35739.092	6754.824	0.000	
28	38063.334	6740.113	0.000	
29	40460.310	6733.422	0.000	
30	42920.578	6725.996	0.000	
31	45464.147	6715.545	0.000	
32	48080.930	6704.618	0.000	
33	50759.631	6696.009	0.000	
34	53521.989	6683.107	0.000	
35	56358.099	6681.145	0.000	
36	59255.218	6666.247	0.000	
37	62236.859	6656.023	0.000	
38	65292.296	6640.481	0.000	
39	68407.834	6628.789	0.000	
40	71609.397	6620.744	0.000	
41	74883.523	6611.133	0.000	
42	78217.478	6592.208	0.000	
43	81638.369	6590.174	0.000	
44	85131.778	6571.917	0.000	
45	88684.151	6566.174	0.000	
46	92324.369	6553.386	0.000	
47	96037.802	6542.002	0.000	
48	99808.608	6526.887	0.000	
49	103667.398	6518.127	0.000	
50	107600.158	6506.212	0.000	
51	111589.382	6495.575	0.000	
52	115667.456	6483.554	0.000	
53	119819.542	6469.978	0.000	
54	124027.184	6458.039	0.000	
55	128325.397	6444.622	0.000	
56	132695.956	6429.883	0.000	
57	137122.016	6414.647	0.000	
58	141639.556	6398.440	0.000	
59	146229.398	6384.291	0.000	
60	150873.876	6373.089	0.000	
61	155610.743	6354.624	0.000	
62	160420.825	6337.493	0.000	
63	165283.736	6323.323	0.000	
64	170238.959	6311.895	0.000	
65	175268.368	6294.109	0.000	
66	180369.978	6279.880	0.000	
67	185524.204	6264.939	0.000	
68	190772.940	6249.524	0.000	
69	196094.890	6230.250	0.000	
70	201467.549	6216.137	0.000	
71	206934.540	6201.743	0.000	
72	212475.818	6179.265	0.000	
73	218066.895	6167.128	0.000	
74	223753.169	6154.084	0.000	
75	229513.774	6134.843	0.000	
76	235323.269	6123.123	0.000	
77	241230.000	6103.294	0.000	
78	247208.759	6087.629	0.000	
79	253236.672	6073.452	0.000	
80	259362.730	6057.238	0.000	
81	265560.772	6039.151	0.000	
82	271807.104	6022.288	0.000	
83	278152.489	6005.676	0.000	
84	284571.089	5987.542	0.000	
85	291035.852	5970.716	0.000	
86	297599.276	5952.776	0.000	
87	304237.203	5930.476	0.000	
88	310920.385	5912.159	0.000	
89	317703.093	5894.186	0.000	
90	324560.346	5881.107	0.000	
91	331461.946	5861.009	0.000	
92	338465.327	5839.224	0.000	
93	345540.518	5822.089	0.000	
94	352660.537	5799.780	0.000	
95	359883.244	5784.638	0.000	
96	367177.719	5765.298	0.000	
97	374516.155	5740.829	0.000	
98	381958.190	5727.117	0.000	
99	389473.439	5709.074	0.000	
100	397030.308	5685.597	0.000	
101	404690.164	5671.941	0.000	
102	412424.740	5650.033	0.000	
103	420200.027	5627.939	0.000	
104	428079.167	5611.089	0.000	
105	436033.070	5591.692	0.000	
106	444026.776	5568.301	0.000	
107	452126.805	5549.424	0.000	
108	460298.429	5532.688	0.000	
109	468510.553	5507.412	0.000	
110	476829.909	5492.510	0.000	
111	485220.817	5474.765	0.000	
112	493651.359	5456.929	0.000	
113	502190.042	5433.832	0.000	
114	510801.940	5417.793	0.000	
115	519450.914	5398.356	0.000	
116	528207.204	5377.285	0.000	
117	537038.429	5355.448	0.000	
118	545905.821	5334.764	0.000	
119	554881.394	5313.472	0.000	
120	563931.946	5291.831	0.000	
121	573017.756	5271.956	0.000	
122	582214.435	5252.916	0.000	
123	591482.492	5231.560	0.000	
124	600786.721	5212.801	0.000	
125	610202.726	5186.486	0.000	
126	619690.067	5167.321	0.000	
127	629212.714	5149.212	0.000	
128	638848.046	5125.474	0.000	
