#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.498,1.383)		
1	1022.157	7259.369	0.000	
2	1445.606	7244.159	0.000	
3	1940.091	7245.550	0.000	
4	2509.649	7244.137	0.000	
5	3152.410	7243.750	0.000	
6	3865.316	7245.033	0.000	
7	4654.186	7241.718	0.000	
8	5516.260	7238.965	0.000	
9	6447.587	7238.574	0.000	
10	7455.770	7230.031	0.000	
11	8537.156	7229.198	0.000	
12	9686.904	7226.766	0.000	
13	10914.400	7217.513	0.000	
14	12215.099	7214.085	0.000	
15	13583.268	7214.241	0.000	
16	15030.076	7207.004	0.000	
17	16550.210	7204.537	0.000	
18	18136.806	7197.128	0.000	
19	19802.731	7188.867	0.000	
20	21542.192	7180.963	0.000	
21	23347.206	7180.928	0.000	
22	25232.414	7172.008	0.000	
23	27191.202	7166.183	0.000	
24	29214.635	7154.223	0.000	
25	31319.549	7151.135	0.000	
26	33497.242	7136.698	0.000	
27	35739.092	7128.712	0.000	
28	38063.334	7120.750	0.000	
29	40460.310	7112.442	0.000	
30	42920.578	7097.678	0.000	
31	45464.147	7090.928	0.000	
32	48080.930	7084.927	0.000	
33	50759.631	7073.401	0.000	
34	53521.989	7064.631	0.000	
35	56358.099	7055.810	0.000	
36	59255.218	7045.175	0.000	
37	62236.859	7032.572	0.000	
38	65292.296	7021.733	0.000	
39	68407.834	7012.942	0.000	
40	71609.397	7000.514	0.000	
41	74883.523	6989.416	0.000	
42	78217.478	6976.312	0.000	
43	81638.369	6961.260	0.000	
44	85131.778	6951.615	0.000	
45	88684.151	6935.510	0.000	
46	92324.369	6918.162	0.000	
47	96037.802	6905.256	0.000	
48	99808.608	6892.503	0.000	
49	103667.398	6878.609	0.000	
50	107600.158	6865.779	0.000	
51	111589.382	6848.840	0.000	
52	115667.456	6833.380	0.000	
53	119819.542	6819.969	0.000	
54	124027.184	6801.662	0.000	
55	128325.397	6786.674	0.000	
56	132695.956	6771.889	0.000	
57	137122.016	6756.640	0.000	
58	141639.556	6741.279	0.000	
59	146229.398	6726.846	0.000	
60	150873.876	6713.259	0.000	
61	155610.743	6696.191	0.000	
62	160420.825	6677.331	0.000	
63	165283.736	6661.513	0.000	
64	170238.959	6644.671	0.000	
65	175268.368	6629.481	0.000	
66	180369.978	6611.802	0.000	
67	185524.204	6592.075	0.000	
68	190772.940	6574.200	0.000	
69	196094.890	6557.531	0.000	
70	201467.549	6539.104	0.000	
71	206934.540	6517.685	0.000	
72	212475.818	6498.807	0.000	
73	218066.895	6483.621	0.000	
74	223753.169	6461.566	0.000	
75	229513.774	6445.789	0.000	
76	235323.269	6427.816	0.000	
77	241230.000	6407.246	0.000	
78	247208.759	6383.929	0.000	
79	253236.672	6364.717	0.000	
80	259362.730	6350.614	0.000	
81	265560.772	6330.261	0.000	
82	271807.104	6309.119	0.000	
83	278152.489	6286.023	0.000	
84	284571.089	6269.437	0.000	
85	291035.852	6246.450	0.000	
86	297599.276	6227.989	0.000	
87	304237.203	6208.044	0.000	
88	310920.385	6184.934	0.000	
89	317703.093	6170.852	0.000	
90	324560.346	6150.038	0.000	
91	331461.946	6125.536	0.000	
92	338465.327	6107.904	0.000	
93	345540.518	6089.537	0.000	
94	352660.537	6069.729	0.000	
95	359883.244	6050.247	0.000	
96	367177.719	6024.949	0.000	
97	374516.155	6005.554	0.000	
98	381958.190	5980.913	0.000	
99	389473.439	5962.757	0.000	
100	397030.308	5940.588	0.000	
101	404690.164	5917.402	0.000	
102	412424.740	5892.852	0.000	
103	420200.027	5873.808	0.000	
104	428079.167	5850.087	0.000	
105	436033.070	5827.837	0.000	
106	444026.776	5803.247	0.000	
107	452126.805	5784.443	0.000	
108	460298.429	5762.763	0.000	
109	468510.553	5739.446	0.000	
110	476829.909	5714.682	0.000	
111	485220.817	5693.396	0.000	
112	493651.359	5671.091	0.000	
113	502190.042	5645.578	0.000	
114	510801.940	5623.430	0.000	
115	519450.914	5604.247	0.000	
116	528207.204	5581.803	0.000	
117	537038.429	5562.293	0.000	
118	545905.821	5537.374	0.000	
119	554881.394	5513.157	0.000	
120	563931.946	5493.779	0.000	
121	573017.756	5468.449	0.000	
122	582214.435	5449.290	0.000	
123	591482.492	5422.826	0.000	
124	600786.721	5402.910	0.000	
125	610202.726	5377.079	0.000	
126	619690.067	5357.232	0.000	
127	629212.714	5331.427	0.000	
128	638848.046	5309.325	0.000	
