#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.538,1.367)		
1	1022.157	7091.756	0.000	
2	1074.710	7079.944	0.000	
3	1131.887	7081.870	0.000	
4	1190.546	7080.665	0.000	
5	1252.427	7077.367	0.000	
6	1317.661	7078.654	0.000	
7	1386.381	7083.221	0.000	
8	1456.848	7083.356	0.000	
9	1532.911	7086.198	0.000	
10	1612.884	7082.433	0.000	
11	1696.916	7084.916	0.000	
12	1785.160	7076.464	0.000	
13	1877.771	7086.798	0.000	
14	1974.909	7088.128	0.000	
15	2078.980	7089.624	0.000	
16	2185.723	7089.949	0.000	
17	2299.853	7091.728	0.000	
18	2419.306	7086.074	0.000	
19	2546.746	7092.017	0.000	
20	2677.456	7090.309	0.000	
21	2816.655	7092.717	0.000	
22	2964.736	7094.214	0.000	
23	3116.611	7089.739	0.000	
24	3280.725	7086.686	0.000	
25	3449.050	7087.564	0.000	
26	3630.471	7082.720	0.000	
27	3819.582	7079.658	0.000	
28	4016.610	7080.971	0.000	
29	4224.985	7075.204	0.000	
30	4445.185	7076.168	0.000	
31	4677.705	7068.474	0.000	
32	4919.601	7069.999	0.000	
33	5174.669	7062.031	0.000	
34	5443.439	7062.348	0.000	
35	5726.455	7061.798	0.000	
36	6024.276	7057.956	0.000	
37	6341.391	7053.382	0.000	
38	6670.657	7063.302	0.000	
39	7016.494	7056.374	0.000	
40	7379.518	7056.905	0.000	
41	7764.696	7060.959	0.000	
42	8168.561	7062.573	0.000	
43	8591.780	7062.464	0.000	
44	9039.711	7064.457	0.000	
45	9508.614	7062.432	0.000	
46	10004.127	7057.408	0.000	
47	10522.313	7061.897	0.000	
48	11069.103	7058.386	0.000	
49	11645.659	7059.059	0.000	
50	12253.182	7053.746	0.000	
51	12892.900	7046.304	0.000	
52	13560.347	7041.839	0.000	
53	14268.073	7037.796	0.000	
54	15006.082	7033.483	0.000	
55	15786.991	7026.468	0.000	
56	16607.086	7027.238	0.000	
57	17473.817	7024.356	0.000	
58	18382.660	7007.208	0.000	
59	19334.791	7007.213	0.000	
60	20339.214	7006.834	0.000	
61	21398.049	6994.811	0.000	
62	22513.119	6994.173	0.000	
63	23686.632	6979.407	0.000	
64	24913.319	6981.299	0.000	
65	26210.774	6972.755	0.000	
66	27573.663	6972.638	0.000	
67	29004.835	6960.794	0.000	
68	30515.161	6958.374	0.000	
69	32098.886	6959.429	0.000	
70	33767.853	6952.579	0.000	
71	35525.454	6945.072	0.000	
72	37375.636	6936.370	0.000	
73	39321.060	6917.765	0.000	
74	41365.842	6906.774	0.000	
75	43513.738	6913.177	0.000	
76	45779.322	6895.026	0.000	
77	48156.352	6892.463	0.000	
78	50659.623	6880.542	0.000	
79	53294.647	6868.079	0.000	
80	56066.557	6866.106	0.000	
81	58980.039	6848.512	0.000	
82	62041.040	6837.904	0.000	
83	65267.284	6835.262	0.000	
84	68665.369	6817.299	0.000	
85	72242.066	6801.315	0.000	
86	75991.162	6785.275	0.000	
87	79946.449	6767.895	0.000	
88	84101.758	6746.368	0.000	
89	88479.487	6723.180	0.000	
90	93073.144	6713.127	0.000	
91	97921.226	6686.472	0.000	
92	103003.474	6679.699	0.000	
93	108359.652	6648.533	0.000	
94	114000.677	6632.132	0.000	
95	119922.050	6602.761	0.000	
96	126167.139	6585.365	0.000	
97	132714.222	6572.598	0.000	
98	139628.471	6549.307	0.000	
99	146888.449	6519.767	0.000	
100	154525.706	6510.083	0.000	
101	162554.756	6472.895	0.000	
102	171011.215	6448.909	0.000	
103	179890.650	6425.005	0.000	
104	189250.249	6390.818	0.000	
105	199090.031	6364.995	0.000	
106	209447.902	6330.468	0.000	
107	220346.296	6303.189	0.000	
108	231804.947	6260.668	0.000	
109	243845.176	6231.937	0.000	
110	256514.221	6180.763	0.000	
111	269862.442	6140.984	0.000	
112	283888.785	6098.444	0.000	
113	298647.447	6072.339	0.000	
114	314192.165	6025.085	0.000	
115	330527.837	5987.785	0.000	
116	347712.404	5928.245	0.000	
117	365778.527	5882.932	0.000	
118	384820.408	5836.811	0.000	
119	404816.246	5781.093	0.000	
120	425862.141	5710.780	0.000	
121	448002.112	5663.937	0.000	
122	471309.413	5604.514	0.000	
123	495831.285	5549.005	0.000	
124	521614.587	5477.417	0.000	
125	548707.358	5414.993	0.000	
126	577269.467	5323.246	0.000	
127	607285.386	5283.354	0.000	
128	638848.046	5211.929	0.000	
