#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.492,1.352)		
1	1022.157	8012.407	0.000	
2	1074.710	7985.013	0.000	
3	1131.887	7984.155	0.000	
4	1190.546	7981.552	0.000	
5	1252.427	7988.013	0.000	
6	1317.661	7987.270	0.000	
7	1386.381	7988.215	0.000	
8	1456.848	7994.907	0.000	
9	1532.911	7992.293	0.000	
10	1612.884	7992.287	0.000	
11	1696.916	7993.660	0.000	
12	1785.160	7996.017	0.000	
13	1877.771	8002.750	0.000	
14	1974.909	8001.067	0.000	
15	2078.980	8004.098	0.000	
16	2185.723	8006.234	0.000	
17	2299.853	8006.061	0.000	
18	2419.306	8008.877	0.000	
19	2546.746	8009.719	0.000	
20	2677.456	8010.748	0.000	
21	2816.655	8013.229	0.000	
22	2964.736	8012.835	0.000	
23	3116.611	8010.909	0.000	
24	3280.725	8007.445	0.000	
25	3449.050	8008.538	0.000	
26	3630.471	8011.098	0.000	
27	3819.582	8007.937	0.000	
28	4016.610	8005.475	0.000	
29	4224.985	8008.933	0.000	
30	4445.185	8008.921	0.000	
31	4677.705	8010.207	0.000	
32	4919.601	8009.249	0.000	
33	5174.669	8010.422	0.000	
34	5443.439	8009.268	0.000	
35	5726.455	8011.492	0.000	
36	6024.276	8010.636	0.000	
37	6341.391	8013.886	0.000	
38	6670.657	8008.468	0.000	
39	7016.494	8008.631	0.000	
40	7379.518	8014.491	0.000	
41	7764.696	8015.892	0.000	
42	8168.561	8014.925	0.000	
43	8591.780	8018.181	0.000	
44	9039.711	8022.229	0.000	
45	9508.614	8013.529	0.000	
46	10004.127	8014.074	0.000	
47	10522.313	8015.241	0.000	
48	11069.103	8007.526	0.000	
49	11645.659	8009.196	0.000	
50	12253.182	8002.768	0.000	
51	12892.900	8007.557	0.000	
52	13560.347	8006.020	0.000	
53	14268.073	7997.955	0.000	
54	15006.082	7995.015	0.000	
55	15786.991	7990.889	0.000	
56	16607.086	7988.553	0.000	
57	17473.817	7986.619	0.000	
58	18382.660	7984.410	0.000	
59	19334.791	7978.828	0.000	
60	20339.214	7975.007	0.000	
61	21398.049	7968.471	0.000	
62	22513.119	7965.207	0.000	
63	23686.632	7958.831	0.000	
64	24913.319	7955.255	0.000	
65	26210.774	7947.885	0.000	
66	27573.663	7938.879	0.000	
67	29004.835	7936.379	0.000	
68	30515.161	7926.924	0.000	
69	32098.886	7920.518	0.000	
70	33767.853	7915.061	0.000	
71	35525.454	7902.284	0.000	
72	37375.636	7897.823	0.000	
73	39321.060	7887.337	0.000	
74	41365.842	7879.873	0.000	
75	43513.738	7867.854	0.000	
76	45779.322	7853.157	0.000	
77	48156.352	7847.005	0.000	
78	50659.623	7832.634	0.000	
79	53294.647	7821.536	0.000	
80	56066.557	7813.738	0.000	
81	58980.039	7793.141	0.000	
82	62041.040	7780.216	0.000	
83	65267.284	7761.962	0.000	
84	68665.369	7749.426	0.000	
85	72242.066	7730.597	0.000	
86	75991.162	7716.014	0.000	
87	79946.449	7696.979	0.000	
88	84101.758	7682.903	0.000	
89	88479.487	7657.906	0.000	
90	93073.144	7639.607	0.000	
91	97921.226	7617.110	0.000	
92	103003.474	7593.115	0.000	
93	108359.652	7573.253	0.000	
94	114000.677	7543.858	0.000	
95	119922.050	7515.119	0.000	
96	126167.139	7491.953	0.000	
97	132714.222	7459.870	0.000	
98	139628.471	7433.482	0.000	
99	146888.449	7396.202	0.000	
100	154525.706	7364.724	0.000	
101	162554.756	7335.928	0.000	
102	171011.215	7299.177	0.000	
103	179890.650	7260.450	0.000	
104	189250.249	7224.628	0.000	
105	199090.031	7183.402	0.000	
106	209447.902	7146.751	0.000	
107	220346.296	7097.410	0.000	
108	231804.947	7054.043	0.000	
109	243845.176	7010.812	0.000	
110	256514.221	6964.596	0.000	
111	269862.442	6907.242	0.000	
112	283888.785	6859.385	0.000	
113	298647.447	6807.259	0.000	
114	314192.165	6749.786	0.000	
115	330527.837	6692.346	0.000	
116	347712.404	6635.641	0.000	
117	365778.527	6575.885	0.000	
118	384820.408	6513.498	0.000	
119	404816.246	6449.566	0.000	
120	425862.141	6380.020	0.000	
121	448002.112	6306.755	0.000	
122	471309.413	6231.774	0.000	
123	495831.285	6154.875	0.000	
124	521614.587	6068.228	0.000	
125	548707.358	5993.539	0.000	
126	577269.467	5906.895	0.000	
127	607285.386	5815.560	0.000	
128	638848.046	5732.567	0.000	
